timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
14377.760721,0.524630,15.608975,59.522930,-5.929448,15.594846,59.414585,14377.760698,14377.727754,0,4217,1,-2.453514,11.974651,67.714157,0.047378,0.035607,0.010805
14377.775008,0.525476,15.630839,59.495846,-5.931365,15.624089,59.441868,14377.774991,14377.744435,0,4218,1,-2.359684,12.100208,67.764473,0.032235,0.047377,0.009687
14377.790436,0.525973,15.570091,59.499454,-5.935171,15.571157,59.463745,14377.790415,14377.761115,0,4219,1,-2.355005,11.988276,67.730698,0.045729,0.046411,0.013927
14377.822043,0.527057,15.599503,59.564514,-5.935267,15.597863,59.451599,14377.822027,14377.777796,0,4220,1,-2.419893,12.015104,67.770538,0.042353,0.041040,0.007902
14377.837545,0.529140,15.596813,59.552715,-5.935527,15.624105,59.439857,14377.837529,14377.794459,0,4221,1,-2.418387,12.052198,67.774132,0.038020,0.039019,0.013007
14377.853904,0.528612,15.625661,59.596581,-5.934652,15.607972,59.435783,14377.853889,14377.811133,0,4222,1,-2.365744,12.013406,67.775246,0.042617,0.048324,0.005660
14377.870440,0.528887,15.613155,59.631371,-5.934380,15.599352,59.411549,14377.870409,14377.827806,0,4223,1,-2.362751,12.090142,67.814949,0.033033,0.046697,0.010363
14377.885676,0.527210,15.608920,59.561588,-5.933067,15.597388,59.393509,14377.885652,14377.844480,0,4224,1,-2.287101,12.034868,67.743523,0.039932,0.055581,0.010927
14377.902128,0.524849,15.612391,59.593651,-5.935007,15.611198,59.422367,14377.902111,14377.861154,0,4225,1,-2.366230,11.953141,67.743149,0.049230,0.047570,0.008042
14377.918107,0.526112,15.605966,59.609661,-5.938691,15.595058,59.440174,14377.918090,14377.877827,0,4226,1,-2.392162,12.006115,67.785576,0.042543,0.043344,0.011035
14377.933779,0.526898,15.598063,59.588375,-5.936478,15.592754,59.429405,14377.933762,14377.894501,0,4227,1,-2.353525,12.027341,67.777084,0.040107,0.047869,0.010847
14377.950067,0.526799,15.623504,59.556793,-5.940309,15.609502,59.444069,14377.950052,14377.911174,0,4228,1,-2.437903,11.926482,67.726402,0.052377,0.037745,0.011458
14377.966157,0.527774,15.601459,59.595261,-5.942976,15.601757,59.465317,14377.966141,14377.927848,0,4229,1,-2.385150,11.961616,67.770226,0.048238,0.043138,0.013977
14377.982117,0.531247,15.578950,59.647221,-5.939506,15.574977,59.462109,14377.982097,14377.944522,0,4230,1,-2.395166,11.994139,67.810928,0.043960,0.044080,0.007712
14377.998587,0.536149,15.617086,59.648773,-5.937220,15.604337,59.463516,14377.998561,14377.961195,0,4231,1,-2.326897,11.964663,67.795738,0.047634,0.051136,0.009520
14378.014137,0.539819,15.608487,59.546749,-5.931310,15.609674,59.453423,14378.014122,14377.977869,0,4232,1,-2.358833,11.931957,67.726784,0.051601,0.046148,0.010938
14378.030263,0.542857,15.610045,59.528412,-5.928060,15.611587,59.463867,14378.030248,14377.994542,0,4233,1,-2.279711,11.966753,67.735298,0.047356,0.053818,0.014445
14378.048096,0.548031,15.599370,59.478367,-5.925941,15.619513,59.458561,14378.048079,14378.011216,0,4234,1,-2.399822,11.965280,67.712830,0.047184,0.040731,0.010152
14378.062722,0.549918,15.620282,59.441498,-5.919117,15.615617,59.442917,14378.062691,14378.027890,0,4235,1,-2.339269,12.078752,67.731918,0.033922,0.047314,0.010439
14378.078946,0.552441,15.628338,59.491467,-5.918073,15.625978,59.440201,14378.078931,14378.044563,0,4236,1,-2.397546,11.959797,67.706390,0.048072,0.042786,0.004037
14378.094856,0.556013,15.610395,59.455261,-5.916988,15.624264,59.449322,14378.094833,14378.061237,0,4237,1,-2.349160,11.989856,67.703438,0.044923,0.044801,0.012546
14378.110167,0.557826,15.622786,59.425346,-5.918177,15.597274,59.470455,14378.110152,14378.077910,0,4238,1,-2.337101,12.050620,67.723763,0.037945,0.047630,0.009012
14378.127258,0.559845,15.601923,59.440193,-5.925275,15.600377,59.519512,14378.127242,14378.094584,0,4239,1,-2.361504,12.031678,67.748055,0.040401,0.045064,0.008883
14378.142313,0.559925,15.570321,59.433880,-5.921532,15.571960,59.468254,14378.142297,14378.111258,0,4240,1,-2.375887,12.018449,67.713303,0.042517,0.042444,0.010488
14378.158548,0.561048,15.613502,59.442345,-5.922644,15.589158,59.494686,14378.158531,14378.127931,0,4241,1,-2.336691,11.998359,67.719162,0.045061,0.048425,0.007444
