frameCounter, trackingStatus, timeLogged, frameNumber
136,2,14377.7752, 4218
137,2,14377.7908, 4219
138,2,14377.8222, 4220
139,2,14377.8376, 4221
140,2,14377.8539, 4222
141,2,14377.8705, 4223
142,2,14377.8857, 4224
143,2,14377.9021, 4225
144,2,14377.9214, 4226
145,2,14377.9338, 4227
146,2,14377.9501, 4228
147,2,14377.9662, 4229
148,2,14377.9821, 4230
149,2,14377.9987, 4231
150,2,14378.0141, 4232
151,2,14378.0303, 4233
152,2,14378.0482, 4234
153,2,14378.0627, 4235
154,2,14378.0790, 4236
155,2,14378.0949, 4237
156,2,14378.1102, 4238
157,2,14378.1273, 4239
158,2,14378.1423, 4240
159,2,14378.1585, 4241
160,2,14378.1743, 4242
161,2,14378.1914, 4243
162,2,14378.2221, 4244
163,2,14378.2377, 4245
164,2,14378.2538, 4246
165,2,14378.2700, 4247
166,2,14378.2860, 4248
167,2,14378.3027, 4249
168,2,14378.3180, 4250
169,2,14378.3339, 4251
170,2,14378.3497, 4252
171,2,14378.3660, 4253
172,2,14378.3833, 4254
173,2,14378.3979, 4255
174,2,14378.4144, 4256
175,2,14378.4305, 4257
176,2,14378.4463, 4258
177,2,14378.4621, 4259
178,2,14378.4780, 4260
179,2,14378.4946, 4261
180,2,14378.5106, 4262
181,2,14378.5268, 4263
182,2,14378.5423, 4264
183,2,14378.5581, 4265
184,2,14378.5739, 4266
185,2,14378.6063, 4267
186,2,14378.6228, 4268
187,2,14378.6391, 4269
188,2,14378.6541, 4270
189,2,14378.6701, 4271
190,2,14378.6863, 4272
191,2,14378.7035, 4273
192,2,14378.7189, 4274
193,2,14378.7361, 4275
194,2,14378.7500, 4276
195,2,14378.7661, 4277
196,2,14378.7824, 4278
197,2,14378.7981, 4279
198,2,14378.8137, 4280
199,2,14378.8312, 4281
200,2,14378.8470, 4282
201,2,14378.8623, 4283
202,2,14378.8781, 4284
203,2,14378.8948, 4285
204,2,14378.9102, 4286
205,2,14378.9260, 4287
206,2,14378.9425, 4288
207,2,14378.9583, 4289
208,2,14378.9744, 4290
209,2,14379.0059, 4291
210,2,14379.0222, 4292
211,2,14379.0383, 4293
212,2,14379.0543, 4294
213,2,14379.0704, 4295
214,2,14379.0861, 4296
215,2,14379.1020, 4297
216,2,14379.1179, 4298
217,2,14379.1345, 4299
218,2,14379.1504, 4300
219,2,14379.1673, 4301
220,2,14379.1822, 4302
221,2,14379.1996, 4303
222,2,14379.2150, 4304
223,2,14379.2303, 4305
224,2,14379.2462, 4306
225,2,14379.2626, 4307
226,2,14379.2788, 4308
227,2,14379.2941, 4309
228,2,14379.3106, 4310
229,2,14379.3261, 4311
230,2,14379.3424, 4312
231,2,14379.3600, 4313
232,2,14379.3901, 4314
233,2,14379.4064, 4315
234,2,14379.4221, 4316
235,2,14379.4380, 4317
236,2,14379.4544, 4318
237,2,14379.4702, 4319
238,2,14379.4865, 4320
239,2,14379.5025, 4321
240,2,14379.5180, 4322
241,2,14379.5342, 4323
242,2,14379.5514, 4324
243,2,14379.5659, 4325
244,2,14379.5819, 4326
245,2,14379.5985, 4327
246,2,14379.6151, 4328
247,2,14379.6310, 4329
248,2,14379.6460, 4330
249,2,14379.6621, 4331
250,2,14379.6781, 4332
251,2,14379.6941, 4333
252,2,14379.7102, 4334
253,2,14379.7274, 4335
254,2,14379.7425, 4336
255,2,14379.7585, 4337
256,2,14379.7905, 4338
257,2,14379.8073, 4339
258,2,14379.8236, 4340
259,2,14379.8394, 4341
260,2,14379.8541, 4342
261,2,14379.8709, 4343
262,2,14379.8861, 4344
263,2,14379.9022, 4345
264,2,14379.9180, 4346
265,2,14379.9342, 4347
266,2,14379.9500, 4348
267,2,14379.9658, 4349
268,2,14379.9821, 4350
269,2,14379.9985, 4351
270,2,14380.0139, 4352
