CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
14377.7651, 64.9975, 41.4000, 539.4231, -0.0302, -0.0349, 0.0079, 64.9975, 41.4000, 539.4231, -0.0302, -0.0349, 0.0079, 4218
14377.7818, 64.8293, 41.6218, 539.4949, -0.0437, -0.0340, 0.0121, 64.8293, 41.6218, 539.4949, -0.0437, -0.0340, 0.0121, 4219
14377.7985, 64.5935, 41.3849, 536.4424, -0.0403, -0.0285, 0.0063, 64.5935, 41.3849, 536.4424, -0.0403, -0.0285, 0.0063, 4220
14377.8152, 64.8470, 41.3354, 538.0800, -0.0360, -0.0266, 0.0114, 64.8470, 41.3354, 538.0800, -0.0360, -0.0266, 0.0114, 4221
14377.8318, 64.9673, 41.3914, 539.3843, -0.0406, -0.0357, 0.0038, 64.9673, 41.3914, 539.3843, -0.0406, -0.0357, 0.0038, 4222
14377.8485, 64.7943, 41.4660, 537.0026, -0.0310, -0.0342, 0.0086, 64.7943, 41.4660, 537.0026, -0.0310, -0.0342, 0.0086, 4223
14377.8652, 64.6435, 41.5647, 537.7786, -0.0379, -0.0431, 0.0089, 64.6435, 41.5647, 537.7786, -0.0379, -0.0431, 0.0089, 4224
14377.8819, 64.4684, 41.4678, 536.3032, -0.0472, -0.0350, 0.0062, 64.4684, 41.4678, 536.3032, -0.0472, -0.0350, 0.0062, 4225
14377.8985, 64.4838, 41.6107, 536.2028, -0.0405, -0.0309, 0.0093, 64.4838, 41.6107, 536.2028, -0.0405, -0.0309, 0.0093, 4226
14377.9152, 64.5742, 41.2927, 537.3141, -0.0381, -0.0354, 0.0090, 64.5742, 41.2927, 537.3141, -0.0381, -0.0354, 0.0090, 4227
14377.9319, 64.6913, 41.5110, 538.4496, -0.0504, -0.0253, 0.0099, 64.6913, 41.5110, 538.4496, -0.0504, -0.0253, 0.0099, 4228
14377.9485, 64.5860, 41.5226, 537.5138, -0.0462, -0.0308, 0.0122, 64.5860, 41.5226, 537.5138, -0.0462, -0.0308, 0.0122, 4229
14377.9652, 64.4868, 41.6182, 537.9474, -0.0419, -0.0315, 0.0060, 64.4868, 41.6182, 537.9474, -0.0419, -0.0315, 0.0060, 4230
14377.9819, 64.4070, 41.4674, 537.0406, -0.0456, -0.0386, 0.0076, 64.4070, 41.4674, 537.0406, -0.0456, -0.0386, 0.0076, 4231
14377.9986, 64.4986, 41.6891, 537.5640, -0.0496, -0.0337, 0.0091, 64.4986, 41.6891, 537.5640, -0.0496, -0.0337, 0.0091, 4232
14378.0152, 64.2382, 41.6066, 536.6014, -0.0454, -0.0415, 0.0124, 64.2382, 41.6066, 536.6014, -0.0454, -0.0415, 0.0124, 4233
14378.0319, 64.2781, 41.5623, 536.8726, -0.0452, -0.0283, 0.0085, 64.2781, 41.5623, 536.8726, -0.0452, -0.0283, 0.0085, 4234
14378.0486, 64.6994, 41.5899, 538.4362, -0.0319, -0.0348, 0.0086, 64.6994, 41.5899, 538.4362, -0.0319, -0.0348, 0.0086, 4235
14378.0653, 64.5193, 41.3256, 536.9857, -0.0460, -0.0301, 0.0023, 64.5193, 41.3256, 536.9857, -0.0460, -0.0301, 0.0023, 4236
14378.0819, 64.3616, 41.3757, 537.2033, -0.0429, -0.0324, 0.0108, 64.3616, 41.3757, 537.2033, -0.0429, -0.0324, 0.0108, 4237
