CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
14377.765134685, 271.644287109, 248.680297852, 323.751770020, 248.230621338, 343.935974121, 248.359863281, 396.182312012, 248.512390137, -46.160327911, 6.746805191, 592.677062988, 18.410263062, 6.765110016, 592.813049316, 4218
14377.781815253, 271.708923340, 248.238128662, 323.957824707, 248.215240479, 343.677185059, 248.514617920, 396.032196045, 248.995895386, -46.167934418, 6.739939213, 592.730346680, 18.443914413, 6.780202389, 593.047180176, 4219
14377.798495820, 271.988616943, 248.168426514, 323.894836426, 248.318634033, 343.332946777, 248.327392578, 396.190979004, 248.597930908, -46.184642792, 6.712822914, 593.372192383, 18.446746826, 6.790669918, 592.918212891, 4220
14377.815159049, 271.661865234, 248.475830078, 323.892761230, 248.527862549, 343.652526855, 248.212860107, 396.437866211, 248.694503784, -46.205390930, 6.701528549, 593.254821777, 18.451633453, 6.793511868, 592.793395996, 4221
14377.831832663, 272.072937012, 248.402160645, 323.706634521, 248.396514893, 343.470764160, 248.194580078, 395.893005371, 248.345199585, -46.203922272, 6.698714256, 593.685119629, 18.442140579, 6.792046547, 592.757141113, 4222
14377.848506277, 271.801696777, 248.709640503, 324.072814941, 248.546783447, 343.631195068, 248.633911133, 396.472595215, 248.825347900, -46.210037231, 6.739928246, 594.036376953, 18.441978455, 6.811814308, 592.517333984, 4223
14377.865179891, 271.577209473, 248.526824951, 323.901214600, 248.431991577, 343.725158691, 248.324340820, 396.031188965, 248.529541016, -46.186126709, 6.729891777, 593.340270996, 18.430711746, 6.822038651, 592.337463379, 4224
14377.881853505, 272.164916992, 248.637451172, 323.865692139, 248.486267090, 343.341979980, 248.568572998, 395.944427490, 248.780563354, -46.165592194, 6.761569023, 593.659973145, 18.447824478, 6.853540421, 592.622192383, 4225
14377.898527119, 271.750000000, 248.782562256, 323.729705811, 248.436218262, 343.481781006, 248.648361206, 396.270446777, 248.809188843, -46.179962158, 6.793385506, 593.821716309, 18.482158661, 6.859444141, 592.805114746, 4226
14377.915200733, 271.591430664, 248.404235840, 323.444427490, 248.296813965, 343.506713867, 248.495605469, 396.076019287, 248.739868164, -46.185878754, 6.793383121, 593.611083984, 18.461057663, 6.852110386, 592.697937012, 4227
14377.931874348, 271.629486084, 248.476196289, 323.933532715, 248.355514526, 343.630493164, 248.383224487, 396.090637207, 248.676849365, -46.181240082, 6.792178631, 593.288208008, 18.498096466, 6.839124203, 592.840148926, 4228
14377.948547962, 271.716369629, 248.486145020, 323.741882324, 248.365478516, 343.494812012, 248.222167969, 396.135864258, 248.730712891, -46.195503235, 6.761373043, 593.678894043, 18.522632599, 6.846057892, 593.054992676, 4229
14377.965221576, 271.664123535, 248.586471558, 323.436584473, 248.402877808, 343.334411621, 248.563827515, 395.872161865, 248.619323730, -46.236526489, 6.773134708, 594.204284668, 18.487174988, 6.859983921, 593.030212402, 4230
14377.981895190, 271.286376953, 248.731567383, 323.776153564, 248.303680420, 343.250122070, 248.339080811, 395.840332031, 248.506622314, -46.283554077, 6.789535046, 594.208435059, 18.465515137, 6.839386463, 593.035644531, 4231
14377.998568804, 271.019378662, 248.654541016, 323.428070068, 248.328948975, 343.507995605, 248.538452148, 395.811035156, 248.750549316, -46.310203552, 6.813178539, 593.190734863, 18.407999039, 6.846273422, 592.932617188, 4232
14378.015242418, 271.270111084, 248.720565796, 323.559417725, 248.449813843, 343.430267334, 248.481262207, 395.934692383, 248.831466675, -46.338485718, 6.837605953, 593.006713867, 18.374397278, 6.850675106, 593.036132812, 4233
14378.031916032, 271.261352539, 248.829101562, 323.565856934, 248.469909668, 343.254943848, 248.383956909, 395.835754395, 248.617401123, -46.385631561, 6.862979412, 592.508972168, 18.355636597, 6.867339134, 592.980651855, 4234
14378.048589646, 271.361755371, 248.527267456, 323.439697266, 248.387207031, 343.590911865, 248.259246826, 395.977294922, 248.661499023, -46.400005341, 6.829846859, 592.134277344, 18.286832809, 6.848935127, 592.824645996, 4235
14378.065263260, 271.625915527, 248.515441895, 323.775939941, 248.427536011, 343.229064941, 248.490356445, 395.968872070, 248.377899170, -46.430362701, 6.843306065, 592.631164551, 18.276641846, 6.840058804, 592.794433594, 4236
14378.081936874, 271.517211914, 248.337615967, 323.670593262, 248.251434326, 343.203369141, 248.231201172, 395.737274170, 248.743759155, -46.462768555, 6.805985451, 592.274047852, 18.265645981, 6.827013969, 592.885986328, 4237
14378.098610488, 271.348632812, 248.406829834, 323.718078613, 248.248825073, 343.422790527, 248.270263672, 395.999694824, 248.494857788, -46.477859497, 6.763525963, 591.971313477, 18.273813248, 6.803879261, 593.105041504, 4238
14378.115284102, 271.469299316, 248.452362061, 323.913696289, 248.209411621, 343.219299316, 248.068771362, 395.996032715, 248.168380737, -46.500549316, 6.744003773, 592.125427246, 18.339599609, 6.774001122, 593.595214844, 4239
14378.131957716, 271.532836914, 248.197479248, 323.717895508, 248.106262207, 343.568115234, 248.110397339, 396.430603027, 248.412231445, -46.501865387, 6.711628437, 592.071289062, 18.306106567, 6.738208771, 593.090576172, 4240
14378.148631330, 271.629394531, 248.329772949, 323.713684082, 248.218170166, 343.354827881, 248.265869141, 395.839538574, 248.423492432, -46.512054443, 6.704515457, 592.143493652, 18.315851212, 6.715733051, 593.350036621, 4241
14378.165304944, 271.593750000, 248.336715698, 323.760070801, 248.294784546, 343.429046631, 248.227294922, 396.277313232, 248.439926147, -46.506107330, 6.672848225, 592.003173828, 18.349632263, 6.700406075, 593.287658691, 4242
14378.181978558, 271.740600586, 248.501281738, 323.789733887, 248.209396362, 343.801513672, 248.169311523, 396.285217285, 248.611022949, -46.449890137, 6.651453495, 591.917968750, 18.342172623, 6.696717739, 592.915405273, 4243
14378.198732257, 271.762634277, 248.434692383, 323.932159424, 248.328598022, 343.802795410, 248.031005859, 396.323455811, 248.457687378, -46.403873444, 6.618979931, 592.268920898, 18.390033722, 6.682115078, 592.876770020, 4244
14378.215412824, 271.795898438, 248.444061279, 323.800109863, 248.292175293, 343.252777100, 248.209030151, 395.985534668, 248.417419434, -46.399089813, 6.600159168, 592.894775391, 18.420314789, 6.657038212, 593.059265137, 4245
14378.232093392, 271.650878906, 248.528854370, 323.856536865, 248.352096558, 343.449951172, 248.231811523, 396.041381836, 248.347106934, -46.374195099, 6.581208706, 593.069152832, 18.451457977, 6.640434265, 593.143127441, 4246
14378.248773959, 271.910522461, 248.504241943, 323.913269043, 248.319427490, 343.558776855, 248.203491211, 396.225769043, 248.444869995, -46.356250763, 6.584311485, 593.555236816, 18.505332947, 6.629399776, 593.323181152, 4247
14378.265454526, 271.806762695, 248.339569092, 323.854705811, 248.177886963, 343.640716553, 248.264007568, 396.196289062, 248.590881348, -46.321777344, 6.562682629, 593.366577148, 18.510686874, 6.627398968, 593.205871582, 4248
14378.282135093, 271.891540527, 248.395477295, 323.939239502, 248.154022217, 343.931396484, 248.389648438, 396.098266602, 248.517181396, -46.259990692, 6.571554184, 593.074645996, 18.537107468, 6.611074924, 593.147766113, 4249
14378.298815660, 271.262573242, 248.688446045, 323.426452637, 248.188018799, 343.700256348, 248.697372437, 396.261199951, 248.652526855, -46.246597290, 6.606322289, 592.699401855, 18.483057022, 6.612257004, 592.609191895, 4250
14378.315496227, 271.440185547, 248.718627930, 323.699066162, 248.379180908, 343.902709961, 248.216033936, 396.265716553, 248.334777832, -46.202571869, 6.619580269, 592.068969727, 18.445222855, 6.623801708, 592.178771973, 4251
14378.332176794, 271.750427246, 248.503631592, 323.477539062, 248.141830444, 344.077270508, 248.548095703, 396.655273438, 248.720184326, -46.157241821, 6.653547287, 591.744201660, 18.403020859, 6.635270119, 591.704406738, 4252
14378.348857362, 271.812316895, 248.607727051, 323.772064209, 248.417709351, 343.558929443, 248.412231445, 395.901916504, 248.757171631, -46.141017914, 6.676079750, 591.779113770, 18.410558701, 6.663483620, 591.752746582, 4253
14378.365537929, 271.868591309, 248.719482422, 324.115264893, 248.424682617, 344.136901855, 248.312255859, 396.434265137, 248.624450684, -46.081695557, 6.695103168, 591.411804199, 18.455085754, 6.681003571, 591.933288574, 4254
14378.382218496, 272.121826172, 248.737426758, 324.202911377, 248.513473511, 343.991455078, 248.380737305, 396.190856934, 248.677703857, -46.053813934, 6.721808910, 591.601684570, 18.515792847, 6.707029343, 592.399169922, 4255
14378.398899063, 271.801879883, 248.622924805, 324.135986328, 248.542510986, 343.777191162, 248.428344727, 396.589050293, 248.512573242, -46.050933838, 6.752204895, 591.645629883, 18.537534714, 6.719881058, 592.340637207, 4256
14378.415579630, 271.939941406, 248.485458374, 323.924041748, 248.098236084, 343.728393555, 248.077209473, 396.308197021, 248.367095947, -46.015796661, 6.742409229, 591.399353027, 18.547258377, 6.703524113, 592.210083008, 4257
14378.432260197, 271.879516602, 248.429977417, 324.154724121, 248.399169922, 343.477294922, 248.533325195, 396.209320068, 248.363327026, -46.008331299, 6.754768372, 591.619018555, 18.584470749, 6.708031178, 592.374084473, 4258
14378.448940764, 271.942718506, 248.669311523, 324.023529053, 248.482971191, 344.183776855, 248.453170776, 396.317077637, 248.760345459, -45.964069366, 6.770496368, 591.118835449, 18.598838806, 6.733366013, 592.405273438, 4259
14378.465621332, 271.930267334, 248.589950562, 324.057434082, 248.408737183, 343.814941406, 248.428344727, 396.514648438, 248.726928711, -45.947952271, 6.791023254, 591.091064453, 18.618507385, 6.750790596, 592.324584961, 4260
