CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
14369.7584, 66.9700, 47.1652, 588.0152, 0.0165, -0.0103, 0.0204, 66.9700, 47.1652, 588.0152, 0.0165, -0.0103, 0.0204, 3738
14369.7751, 66.7741, 46.6039, 584.3293, 0.0472, 0.0010, 0.0108, 66.7741, 46.6039, 584.3293, 0.0472, 0.0010, 0.0108, 3739
14369.7917, 67.0208, 46.8949, 585.9229, 0.0364, -0.0096, 0.0123, 67.0208, 46.8949, 585.9229, 0.0364, -0.0096, 0.0123, 3740
14369.8084, 66.5575, 46.8254, 586.5062, 0.0379, -0.0002, 0.0109, 66.5575, 46.8254, 586.5062, 0.0379, -0.0002, 0.0109, 3741
14369.8251, 67.0963, 47.2758, 588.7811, 0.0162, -0.0174, 0.0118, 67.0963, 47.2758, 588.7811, 0.0162, -0.0174, 0.0118, 3742
14369.8418, 67.0066, 47.3263, 587.2821, 0.0286, -0.0075, 0.0110, 67.0066, 47.3263, 587.2821, 0.0286, -0.0075, 0.0110, 3743
14369.8585, 66.6693, 47.0283, 583.7667, 0.0441, -0.0041, 0.0182, 66.6693, 47.0283, 583.7667, 0.0441, -0.0041, 0.0182, 3744
14369.8751, 66.9360, 46.8431, 585.5860, 0.0387, -0.0104, 0.0151, 66.9360, 46.8431, 585.5860, 0.0387, -0.0104, 0.0151, 3745
14369.8918, 66.7242, 46.7104, 584.1262, 0.0543, 0.0002, 0.0159, 66.7242, 46.7104, 584.1262, 0.0543, 0.0002, 0.0159, 3746
14369.9085, 67.0286, 47.1060, 586.6191, 0.0340, -0.0089, 0.0158, 67.0286, 47.1060, 586.6191, 0.0340, -0.0089, 0.0158, 3747
14369.9252, 67.0677, 47.1141, 586.8547, 0.0292, -0.0021, 0.0154, 67.0677, 47.1141, 586.8547, 0.0292, -0.0021, 0.0154, 3748
14369.9419, 67.4242, 47.0594, 585.9228, 0.0467, -0.0086, 0.0123, 67.4242, 47.0594, 585.9228, 0.0467, -0.0086, 0.0123, 3749
14369.9586, 67.3962, 47.0649, 587.4904, 0.0254, -0.0100, 0.0161, 67.3962, 47.0649, 587.4904, 0.0254, -0.0100, 0.0161, 3750
14369.9753, 67.4230, 47.0418, 585.5883, 0.0426, -0.0069, 0.0078, 67.4230, 47.0418, 585.5883, 0.0426, -0.0069, 0.0078, 3751
14369.9920, 67.0245, 46.8877, 585.2291, 0.0406, -0.0001, 0.0125, 67.0245, 46.8877, 585.2291, 0.0406, -0.0001, 0.0125, 3752
14370.0087, 66.8130, 46.9840, 584.9934, 0.0358, -0.0040, 0.0155, 66.8130, 46.9840, 584.9934, 0.0358, -0.0040, 0.0155, 3753
14370.0254, 66.9994, 47.0574, 585.0403, 0.0281, -0.0090, 0.0094, 66.9994, 47.0574, 585.0403, 0.0281, -0.0090, 0.0094, 3754
14370.0421, 67.0383, 47.3070, 585.2710, 0.0160, -0.0111, 0.0167, 67.0383, 47.3070, 585.2710, 0.0160, -0.0111, 0.0167, 3755
14370.0588, 66.7261, 47.1413, 585.6304, 0.0402, -0.0057, 0.0100, 66.7261, 47.1413, 585.6304, 0.0402, -0.0057, 0.0100, 3756
14370.0755, 67.0557, 46.9124, 586.2914, 0.0282, -0.0053, 0.0112, 67.0557, 46.9124, 586.2914, 0.0282, -0.0053, 0.0112, 3757
14370.0921, 67.3189, 46.9937, 587.9460, 0.0338, -0.0043, 0.0156, 67.3189, 46.9937, 587.9460, 0.0338, -0.0043, 0.0156, 3758
14370.1088, 67.3570, 46.8863, 588.2765, 0.0428, -0.0160, 0.0133, 67.3570, 46.8863, 588.2765, 0.0428, -0.0160, 0.0133, 3759
14370.1255, 67.2979, 47.2584, 586.5228, 0.0237, -0.0205, 0.0121, 67.2979, 47.2584, 586.5228, 0.0237, -0.0205, 0.0121, 3760
14370.1422, 66.9675, 47.0560, 585.5535, 0.0206, -0.0063, 0.0178, 66.9675, 47.0560, 585.5535, 0.0206, -0.0063, 0.0178, 3761
14370.1589, 67.5180, 46.7957, 587.1404, 0.0473, -0.0142, 0.0094, 67.5180, 46.7957, 587.1404, 0.0473, -0.0142, 0.0094, 3762
14370.1756, 67.2531, 47.1913, 585.4902, 0.0200, -0.0159, 0.0118, 67.2531, 47.1913, 585.4902, 0.0200, -0.0159, 0.0118, 3763
14370.1923, 67.2600, 47.0438, 586.0091, 0.0300, -0.0173, 0.0187, 67.2600, 47.0438, 586.0091, 0.0300, -0.0173, 0.0187, 3764
14370.2090, 67.3073, 47.0428, 585.7057, 0.0348, -0.0202, 0.0109, 67.3073, 47.0428, 585.7057, 0.0348, -0.0202, 0.0109, 3765
14370.2256, 67.3601, 46.6990, 584.9860, 0.0367, -0.0081, 0.0138, 67.3601, 46.6990, 584.9860, 0.0367, -0.0081, 0.0138, 3766
14370.2423, 67.2099, 46.7000, 586.3688, 0.0382, 0.0024, 0.0085, 67.2099, 46.7000, 586.3688, 0.0382, 0.0024, 0.0085, 3767
14370.2590, 67.5459, 46.8187, 587.4600, 0.0373, -0.0010, 0.0075, 67.5459, 46.8187, 587.4600, 0.0373, -0.0010, 0.0075, 3768
14370.2757, 67.4083, 46.6889, 585.3099, 0.0271, -0.0004, 0.0091, 67.4083, 46.6889, 585.3099, 0.0271, -0.0004, 0.0091, 3769
14370.2924, 67.3815, 46.9863, 587.2228, 0.0507, -0.0068, 0.0091, 67.3815, 46.9863, 587.2228, 0.0507, -0.0068, 0.0091, 3770
14370.3091, 67.1323, 46.8314, 585.2072, 0.0211, -0.0030, 0.0071, 67.1323, 46.8314, 585.2072, 0.0211, -0.0030, 0.0071, 3771
14370.3258, 67.1580, 46.7992, 586.5757, 0.0391, -0.0013, 0.0098, 67.1580, 46.7992, 586.5757, 0.0391, -0.0013, 0.0098, 3772
14370.3425, 67.2715, 46.9848, 586.7471, 0.0454, -0.0051, 0.0107, 67.2715, 46.9848, 586.7471, 0.0454, -0.0051, 0.0107, 3773
14370.3591, 66.8185, 46.6329, 584.0558, 0.0400, -0.0068, 0.0117, 66.8185, 46.6329, 584.0558, 0.0400, -0.0068, 0.0117, 3774
14370.3758, 67.3764, 47.1584, 588.3073, 0.0242, -0.0085, 0.0168, 67.3764, 47.1584, 588.3073, 0.0242, -0.0085, 0.0168, 3775
14370.3925, 66.8988, 46.8579, 586.5964, 0.0389, -0.0057, 0.0100, 66.8988, 46.8579, 586.5964, 0.0389, -0.0057, 0.0100, 3776
14370.4092, 67.0334, 46.8176, 587.0193, 0.0346, -0.0149, 0.0157, 67.0334, 46.8176, 587.0193, 0.0346, -0.0149, 0.0157, 3777
14370.4259, 67.1518, 46.6401, 586.1796, 0.0402, -0.0100, 0.0145, 67.1518, 46.6401, 586.1796, 0.0402, -0.0100, 0.0145, 3778
14370.4426, 67.2179, 46.8997, 586.9204, 0.0311, -0.0016, 0.0128, 67.2179, 46.8997, 586.9204, 0.0311, -0.0016, 0.0128, 3779
14370.4593, 67.3135, 46.9191, 587.4699, 0.0284, -0.0041, 0.0146, 67.3135, 46.9191, 587.4699, 0.0284, -0.0041, 0.0146, 3780
14370.4760, 67.1325, 46.6828, 585.6064, 0.0351, -0.0072, 0.0127, 67.1325, 46.6828, 585.6064, 0.0351, -0.0072, 0.0127, 3781
14370.4927, 66.9952, 46.8003, 585.2597, 0.0238, -0.0037, 0.0128, 66.9952, 46.8003, 585.2597, 0.0238, -0.0037, 0.0128, 3782
14370.5094, 66.8463, 46.8453, 585.2809, 0.0193, -0.0155, 0.0143, 66.8463, 46.8453, 585.2809, 0.0193, -0.0155, 0.0143, 3783
14370.5261, 67.0126, 47.0806, 586.7109, 0.0237, -0.0169, 0.0101, 67.0126, 47.0806, 586.7109, 0.0237, -0.0169, 0.0101, 3784
14370.5428, 66.9950, 46.8409, 585.5364, 0.0315, -0.0067, 0.0151, 66.9950, 46.8409, 585.5364, 0.0315, -0.0067, 0.0151, 3785
14370.5595, 67.4499, 46.9827, 588.1734, 0.0223, -0.0072, 0.0069, 67.4499, 46.9827, 588.1734, 0.0223, -0.0072, 0.0069, 3786
14370.5762, 67.3138, 46.7477, 587.5764, 0.0355, -0.0153, 0.0108, 67.3138, 46.7477, 587.5764, 0.0355, -0.0153, 0.0108, 3787
14370.5929, 66.5243, 46.7482, 583.6956, 0.0266, -0.0034, 0.0087, 66.5243, 46.7482, 583.6956, 0.0266, -0.0034, 0.0087, 3788
14370.6096, 66.1458, 46.6927, 584.1091, 0.0338, -0.0001, 0.0123, 66.1458, 46.6927, 584.1091, 0.0338, -0.0001, 0.0123, 3789
14370.6263, 66.6905, 46.6235, 584.8115, 0.0281, -0.0026, 0.0094, 66.6905, 46.6235, 584.8115, 0.0281, -0.0026, 0.0094, 3790
14370.6430, 67.0630, 47.0574, 586.3901, 0.0152, -0.0146, 0.0128, 67.0630, 47.0574, 586.3901, 0.0152, -0.0146, 0.0128, 3791
14370.6596, 66.9324, 47.0197, 586.7586, 0.0278, 0.0015, 0.0156, 66.9324, 47.0197, 586.7586, 0.0278, 0.0015, 0.0156, 3792
