CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
14369.741696162, 14369.741696162, 3737, 14369.741696162, 14369.741696162, 3737, 14369.741696162, 0
14369.758376729, 14369.758376729, 3738, 14369.758376729, 14369.758376729, 3738, 14369.758376729, 1
14369.775057296, 14369.775057296, 3739, 14369.775057296, 14369.775057296, 3739, 14369.775057296, 2
14369.791737863, 14369.791737863, 3740, 14369.791737863, 14369.791737863, 3740, 14369.791737863, 3
14369.808418430, 14369.808418430, 3741, 14369.808418430, 14369.808418430, 3741, 14369.808418430, 4
14369.825098998, 14369.825098998, 3742, 14369.825098998, 14369.825098998, 3742, 14369.825098998, 5
14369.841779565, 14369.841779565, 3743, 14369.841779565, 14369.841779565, 3743, 14369.841779565, 6
14369.858460132, 14369.858460132, 3744, 14369.858460132, 14369.858460132, 3744, 14369.858460132, 7
14369.875140699, 14369.875140699, 3745, 14369.875140699, 14369.875140699, 3745, 14369.875140699, 8
14369.891821266, 14369.891821266, 3746, 14369.891821266, 14369.891821266, 3746, 14369.891821266, 9
14369.908501833, 14369.908501833, 3747, 14369.908501833, 14369.908501833, 3747, 14369.908501833, 10
14369.925182400, 14369.925182400, 3748, 14369.925182400, 14369.925182400, 3748, 14369.925182400, 11
14369.941862968, 14369.941862968, 3749, 14369.941862968, 14369.941862968, 3749, 14369.941862968, 12
14369.958638628, 14369.958638628, 3750, 14369.958638628, 14369.958638628, 3750, 14369.958638628, 13
14369.975326154, 14369.975326154, 3751, 14369.975326154, 14369.975326154, 3751, 14369.975326154, 14
14369.992013680, 14369.992013680, 3752, 14369.992013680, 14369.992013680, 3752, 14369.992013680, 15
14370.008701206, 14370.008701206, 3753, 14370.008701206, 14370.008701206, 3753, 14370.008701206, 16
14370.025388732, 14370.025388732, 3754, 14370.025388732, 14370.025388732, 3754, 14370.025388732, 17
14370.042076258, 14370.042076258, 3755, 14370.042076258, 14370.042076258, 3755, 14370.042076258, 18
14370.058763784, 14370.058763784, 3756, 14370.058763784, 14370.058763784, 3756, 14370.058763784, 19
14370.075451310, 14370.075451310, 3757, 14370.075451310, 14370.075451310, 3757, 14370.075451310, 20
14370.092138836, 14370.092138836, 3758, 14370.092138836, 14370.092138836, 3758, 14370.092138836, 21
14370.108826362, 14370.108826362, 3759, 14370.108826362, 14370.108826362, 3759, 14370.108826362, 22
14370.125513889, 14370.125513889, 3760, 14370.125513889, 14370.125513889, 3760, 14370.125513889, 23
14370.142201415, 14370.142201415, 3761, 14370.142201415, 14370.142201415, 3761, 14370.142201415, 24
14370.158888941, 14370.158888941, 3762, 14370.158888941, 14370.158888941, 3762, 14370.158888941, 25
14370.175576467, 14370.175576467, 3763, 14370.175576467, 14370.175576467, 3763, 14370.175576467, 26
14370.192263993, 14370.192263993, 3764, 14370.192263993, 14370.192263993, 3764, 14370.192263993, 27
14370.208951519, 14370.208951519, 3765, 14370.208951519, 14370.208951519, 3765, 14370.208951519, 28
14370.225639045, 14370.225639045, 3766, 14370.225639045, 14370.225639045, 3766, 14370.225639045, 29
14370.242326571, 14370.242326571, 3767, 14370.242326571, 14370.242326571, 3767, 14370.242326571, 30
14370.259014097, 14370.259014097, 3768, 14370.259014097, 14370.259014097, 3768, 14370.259014097, 31
14370.275701623, 14370.275701623, 3769, 14370.275701623, 14370.275701623, 3769, 14370.275701623, 32
14370.292389149, 14370.292389149, 3770, 14370.292389149, 14370.292389149, 3770, 14370.292389149, 33
14370.309076675, 14370.309076675, 3771, 14370.309076675, 14370.309076675, 3771, 14370.309076675, 34
14370.325764201, 14370.325764201, 3772, 14370.325764201, 14370.325764201, 3772, 14370.325764201, 35
14370.342451728, 14370.342451728, 3773, 14370.342451728, 14370.342451728, 3773, 14370.342451728, 36
14370.359145583, 14370.359145583, 3774, 14370.359145583, 14370.359145583, 3774, 14370.359145583, 37
14370.375840074, 14370.375840074, 3775, 14370.375840074, 14370.375840074, 3775, 14370.375840074, 38
14370.392534565, 14370.392534565, 3776, 14370.392534565, 14370.392534565, 3776, 14370.392534565, 39
14370.409229055, 14370.409229055, 3777, 14370.409229055, 14370.409229055, 3777, 14370.409229055, 40
14370.425923546, 14370.425923546, 3778, 14370.425923546, 14370.425923546, 3778, 14370.425923546, 41
14370.442618037, 14370.442618037, 3779, 14370.442618037, 14370.442618037, 3779, 14370.442618037, 42
14370.459312528, 14370.459312528, 3780, 14370.459312528, 14370.459312528, 3780, 14370.459312528, 43
14370.476007019, 14370.476007019, 3781, 14370.476007019, 14370.476007019, 3781, 14370.476007019, 44
14370.492701509, 14370.492701509, 3782, 14370.492701509, 14370.492701509, 3782, 14370.492701509, 45
14370.509396000, 14370.509396000, 3783, 14370.509396000, 14370.509396000, 3783, 14370.509396000, 46
14370.526090491, 14370.526090491, 3784, 14370.526090491, 14370.526090491, 3784, 14370.526090491, 47
14370.542784982, 14370.542784982, 3785, 14370.542784982, 14370.542784982, 3785, 14370.542784982, 48
14370.559479473, 14370.559479473, 3786, 14370.559479473, 14370.559479473, 3786, 14370.559479473, 49
14370.576173964, 14370.576173964, 3787, 14370.576173964, 14370.576173964, 3787, 14370.576173964, 50
14370.592868454, 14370.592868454, 3788, 14370.592868454, 14370.592868454, 3788, 14370.592868454, 51
14370.609562945, 14370.609562945, 3789, 14370.609562945, 14370.609562945, 3789, 14370.609562945, 52
14370.626257436, 14370.626257436, 3790, 14370.626257436, 14370.626257436, 3790, 14370.626257436, 53
14370.642951927, 14370.642951927, 3791, 14370.642951927, 14370.642951927, 3791, 14370.642951927, 54
14370.659646418, 14370.659646418, 3792, 14370.659646418, 14370.659646418, 3792, 14370.659646418, 55
14370.676340908, 14370.676340908, 3793, 14370.676340908, 14370.676340908, 3793, 14370.676340908, 56
14370.693035399, 14370.693035399, 3794, 14370.693035399, 14370.693035399, 3794, 14370.693035399, 57
14370.709729890, 14370.709729890, 3795, 14370.709729890, 14370.709729890, 3795, 14370.709729890, 58
14370.726424381, 14370.726424381, 3796, 14370.726424381, 14370.726424381, 3796, 14370.726424381, 59
14370.743118872, 14370.743118872, 3797, 14370.743118872, 14370.743118872, 3797, 14370.743118872, 60
14370.759673670, 14370.759673670, 3798, 14370.759673670, 14370.759673670, 3798, 14370.759673670, 61
14370.776361196, 14370.776361196, 3799, 14370.776361196, 14370.776361196, 3799, 14370.776361196, 62
14370.793048722, 14370.793048722, 3800, 14370.793048722, 14370.793048722, 3800, 14370.793048722, 63
14370.809736248, 14370.809736248, 3801, 14370.809736248, 14370.809736248, 3801, 14370.809736248, 64
14370.826423774, 14370.826423774, 3802, 14370.826423774, 14370.826423774, 3802, 14370.826423774, 65
14370.843111300, 14370.843111300, 3803, 14370.843111300, 14370.843111300, 3803, 14370.843111300, 66
14370.859798826, 14370.859798826, 3804, 14370.859798826, 14370.859798826, 3804, 14370.859798826, 67
14370.876486353, 14370.876486353, 3805, 14370.876486353, 14370.876486353, 3805, 14370.876486353, 68
14370.893173879, 14370.893173879, 3806, 14370.893173879, 14370.893173879, 3806, 14370.893173879, 69
14370.909861405, 14370.909861405, 3807, 14370.909861405, 14370.909861405, 3807, 14370.909861405, 70
14370.926548931, 14370.926548931, 3808, 14370.926548931, 14370.926548931, 3808, 14370.926548931, 71
14370.943236457, 14370.943236457, 3809, 14370.943236457, 14370.943236457, 3809, 14370.943236457, 72
14370.959923983, 14370.959923983, 3810, 14370.959923983, 14370.959923983, 3810, 14370.959923983, 73
14370.976611509, 14370.976611509, 3811, 14370.976611509, 14370.976611509, 3811, 14370.976611509, 74
14370.993299035, 14370.993299035, 3812, 14370.993299035, 14370.993299035, 3812, 14370.993299035, 75
14371.009986561, 14371.009986561, 3813, 14371.009986561, 14371.009986561, 3813, 14371.009986561, 76
14371.026674087, 14371.026674087, 3814, 14371.026674087, 14371.026674087, 3814, 14371.026674087, 77
14371.043361613, 14371.043361613, 3815, 14371.043361613, 14371.043361613, 3815, 14371.043361613, 78
14371.060049139, 14371.060049139, 3816, 14371.060049139, 14371.060049139, 3816, 14371.060049139, 79
14371.076736665, 14371.076736665, 3817, 14371.076736665, 14371.076736665, 3817, 14371.076736665, 80
14371.093424191, 14371.093424191, 3818, 14371.093424191, 14371.093424191, 3818, 14371.093424191, 81
14371.110111718, 14371.110111718, 3819, 14371.110111718, 14371.110111718, 3819, 14371.110111718, 82
14371.126799244, 14371.126799244, 3820, 14371.126799244, 14371.126799244, 3820, 14371.126799244, 83
14371.143409696, 14371.143409696, 3821, 14371.143409696, 14371.143409696, 3821, 14371.143409696, 84
14371.160090263, 14371.160090263, 3822, 14371.160090263, 14371.160090263, 3822, 14371.160090263, 85
14371.176770830, 14371.176770830, 3823, 14371.176770830, 14371.176770830, 3823, 14371.176770830, 86
14371.193451397, 14371.193451397, 3824, 14371.193451397, 14371.193451397, 3824, 14371.193451397, 87
14371.210131964, 14371.210131964, 3825, 14371.210131964, 14371.210131964, 3825, 14371.210131964, 88
14371.226812531, 14371.226812531, 3826, 14371.226812531, 14371.226812531, 3826, 14371.226812531, 89
14371.243493099, 14371.243493099, 3827, 14371.243493099, 14371.243493099, 3827, 14371.243493099, 90
14371.260173666, 14371.260173666, 3828, 14371.260173666, 14371.260173666, 3828, 14371.260173666, 91
14371.276854233, 14371.276854233, 3829, 14371.276854233, 14371.276854233, 3829, 14371.276854233, 92
14371.293534800, 14371.293534800, 3830, 14371.293534800, 14371.293534800, 3830, 14371.293534800, 93
14371.310215367, 14371.310215367, 3831, 14371.310215367, 14371.310215367, 3831, 14371.310215367, 94
14371.326895934, 14371.326895934, 3832, 14371.326895934, 14371.326895934, 3832, 14371.326895934, 95
14371.343576501, 14371.343576501, 3833, 14371.343576501, 14371.343576501, 3833, 14371.343576501, 96
14371.360257069, 14371.360257069, 3834, 14371.360257069, 14371.360257069, 3834, 14371.360257069, 97
14371.376937636, 14371.376937636, 3835, 14371.376937636, 14371.376937636, 3835, 14371.376937636, 98
14371.393618203, 14371.393618203, 3836, 14371.393618203, 14371.393618203, 3836, 14371.393618203, 99
14371.410298770, 14371.410298770, 3837, 14371.410298770, 14371.410298770, 3837, 14371.410298770, 100
14371.426979337, 14371.426979337, 3838, 14371.426979337, 14371.426979337, 3838, 14371.426979337, 101
14371.443659904, 14371.443659904, 3839, 14371.443659904, 14371.443659904, 3839, 14371.443659904, 102
14371.460340471, 14371.460340471, 3840, 14371.460340471, 14371.460340471, 3840, 14371.460340471, 103
14371.477021039, 14371.477021039, 3841, 14371.477021039, 14371.477021039, 3841, 14371.477021039, 104
14371.493701606, 14371.493701606, 3842, 14371.493701606, 14371.493701606, 3842, 14371.493701606, 105
14371.510382173, 14371.510382173, 3843, 14371.510382173, 14371.510382173, 3843, 14371.510382173, 106
14371.527062740, 14371.527062740, 3844, 14371.527062740, 14371.527062740, 3844, 14371.527062740, 107
14371.543620066, 14371.543620066, 3845, 14371.543620066, 14371.543620066, 3845, 14371.543620066, 108
14371.560293680, 14371.560293680, 3846, 14371.560293680, 14371.560293680, 3846, 14371.560293680, 109
14371.576967294, 14371.576967294, 3847, 14371.576967294, 14371.576967294, 3847, 14371.576967294, 110
14371.593640908, 14371.593640908, 3848, 14371.593640908, 14371.593640908, 3848, 14371.593640908, 111
14371.610314522, 14371.610314522, 3849, 14371.610314522, 14371.610314522, 3849, 14371.610314522, 112
14371.626988136, 14371.626988136, 3850, 14371.626988136, 14371.626988136, 3850, 14371.626988136, 113
14371.643661750, 14371.643661750, 3851, 14371.643661750, 14371.643661750, 3851, 14371.643661750, 114
14371.660335364, 14371.660335364, 3852, 14371.660335364, 14371.660335364, 3852, 14371.660335364, 115
14371.677008978, 14371.677008978, 3853, 14371.677008978, 14371.677008978, 3853, 14371.677008978, 116
14371.693682592, 14371.693682592, 3854, 14371.693682592, 14371.693682592, 3854, 14371.693682592, 117
14371.710356206, 14371.710356206, 3855, 14371.710356206, 14371.710356206, 3855, 14371.710356206, 118
14371.727029820, 14371.727029820, 3856, 14371.727029820, 14371.727029820, 3856, 14371.727029820, 119
14371.743703434, 14371.743703434, 3857, 14371.743703434, 14371.743703434, 3857, 14371.743703434, 120
14371.760377048, 14371.760377048, 3858, 14371.760377048, 14371.760377048, 3858, 14371.760377048, 121
14371.777050662, 14371.777050662, 3859, 14371.777050662, 14371.777050662, 3859, 14371.777050662, 122
14371.793724276, 14371.793724276, 3860, 14371.793724276, 14371.793724276, 3860, 14371.793724276, 123
14371.810397890, 14371.810397890, 3861, 14371.810397890, 14371.810397890, 3861, 14371.810397890, 124
14371.827071504, 14371.827071504, 3862, 14371.827071504, 14371.827071504, 3862, 14371.827071504, 125
14371.843745118, 14371.843745118, 3863, 14371.843745118, 14371.843745118, 3863, 14371.843745118, 126
14371.860418732, 14371.860418732, 3864, 14371.860418732, 14371.860418732, 3864, 14371.860418732, 127
14371.877092346, 14371.877092346, 3865, 14371.877092346, 14371.877092346, 3865, 14371.877092346, 128
14371.893765960, 14371.893765960, 3866, 14371.893765960, 14371.893765960, 3866, 14371.893765960, 129
14371.910439574, 14371.910439574, 3867, 14371.910439574, 14371.910439574, 3867, 14371.910439574, 130
14371.927122430, 14371.927122430, 3868, 14371.927122430, 14371.927122430, 3868, 14371.927122430, 131
14371.943802997, 14371.943802997, 3869, 14371.943802997, 14371.943802997, 3869, 14371.943802997, 132
14371.960483565, 14371.960483565, 3870, 14371.960483565, 14371.960483565, 3870, 14371.960483565, 133
