CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
14369.758376729, 269.891448975, 253.245117188, 321.213073730, 253.733032227, 341.134124756, 252.688903809, 393.469207764, 253.975769043, -49.134380341, 12.536202431, 597.651306152, 15.168284416, 13.268553734, 592.448913574, 3738
14369.775057296, 269.112548828, 253.069458008, 320.998016357, 253.321929932, 340.767272949, 252.613525391, 393.732666016, 253.603805542, -49.172153473, 12.512599945, 597.689392090, 15.110153198, 13.224216461, 591.898376465, 3739
14369.791737863, 269.511596680, 253.596679688, 321.111389160, 253.854125977, 341.068908691, 252.551803589, 393.451507568, 253.687301636, -49.179359436, 12.498024940, 597.901550293, 15.101037025, 13.232339859, 591.711914062, 3740
14369.808418430, 269.722991943, 253.487792969, 321.186248779, 253.873336792, 340.582519531, 252.653930664, 393.226196289, 253.562301636, -49.209918976, 12.503921509, 598.408752441, 15.106070518, 13.226201057, 591.769104004, 3741
14369.825098998, 269.473754883, 253.542449951, 320.832550049, 253.684936523, 340.924560547, 252.837738037, 393.197753906, 253.940338135, -49.220859528, 12.508838654, 598.496948242, 15.096575737, 13.230330467, 591.845825195, 3742
14369.841779565, 269.660766602, 253.438522339, 320.970428467, 253.952239990, 340.882812500, 252.843750000, 393.293212891, 253.996627808, -49.256053925, 12.538807869, 598.692687988, 15.088893890, 13.255672455, 591.936218262, 3743
14369.858460132, 269.769653320, 253.483123779, 321.143066406, 253.957214355, 341.110931396, 252.660812378, 393.773162842, 253.893417358, -49.247512817, 12.557832718, 598.668334961, 15.052327156, 13.260805130, 591.333190918, 3744
14369.875140699, 269.674743652, 253.555633545, 320.536010742, 253.832611084, 341.221313477, 252.654418945, 393.644744873, 253.710815430, -49.258106232, 12.570852280, 598.611450195, 15.003694534, 13.250743866, 591.034606934, 3745
14369.891821266, 269.561126709, 253.465744019, 321.111541748, 253.910461426, 341.117187500, 252.789916992, 393.893890381, 253.879257202, -49.277236938, 12.585145950, 598.409606934, 15.008162498, 13.261157990, 590.882934570, 3746
14369.908501833, 269.349365234, 253.753829956, 321.349487305, 253.866439819, 341.235168457, 252.651611328, 393.590423584, 253.813018799, -49.263629913, 12.582497597, 597.861083984, 15.047121048, 13.279050827, 591.066162109, 3747
14369.925182400, 269.679870605, 253.304977417, 321.082336426, 253.608383179, 341.146972656, 252.696350098, 393.610839844, 253.904159546, -49.249206543, 12.577063560, 597.771057129, 15.027640343, 13.282106400, 590.836364746, 3748
14369.941862968, 269.766204834, 253.170867920, 321.185485840, 253.737335205, 341.450195312, 252.870971680, 393.939453125, 253.907150269, -49.191261292, 12.572214127, 597.336364746, 15.029024124, 13.311204910, 590.682434082, 3749
14369.958638628, 269.764160156, 253.341232300, 321.149627686, 253.773834229, 341.570007324, 252.769165039, 393.884948730, 253.915161133, -49.156513214, 12.570009232, 596.812744141, 15.016295433, 13.300095558, 590.248962402, 3750
14369.975326154, 269.786560059, 253.309387207, 321.216888428, 253.678756714, 341.309814453, 252.867370605, 393.954528809, 253.671539307, -49.094867706, 12.594786644, 596.898681641, 15.036994934, 13.318572044, 590.222595215, 3751
