frameCounter, trackingStatus, timeLogged, frameNumber
272,2,14388.1787, 4841
273,2,14388.1917, 4842
274,2,14388.2063, 4843
275,2,14388.2216, 4844
276,2,14388.2391, 4845
277,2,14388.2551, 4846
278,2,14388.2708, 4847
279,2,14388.2860, 4848
280,2,14388.3019, 4849
281,2,14388.3186, 4850
282,2,14388.3339, 4851
283,2,14388.3501, 4852
284,2,14388.3657, 4853
285,2,14388.3823, 4854
286,2,14388.4148, 4855
287,2,14388.4302, 4856
288,2,14388.4462, 4857
289,2,14388.4622, 4858
290,2,14388.4782, 4859
291,2,14388.4940, 4860
292,2,14388.5100, 4861
293,2,14388.5261, 4862
294,2,14388.5422, 4863
295,2,14388.5582, 4864
296,2,14388.5740, 4865
297,2,14388.5898, 4866
298,2,14388.6061, 4867
299,2,14388.6223, 4868
300,2,14388.6380, 4869
301,2,14388.6545, 4870
302,2,14388.6699, 4871
303,2,14388.6862, 4872
304,2,14388.7021, 4873
305,2,14388.7180, 4874
306,2,14388.7341, 4875
307,2,14388.7501, 4876
308,2,14388.7669, 4877
309,2,14388.7820, 4878
310,2,14388.8158, 4879
311,2,14388.8305, 4880
312,2,14388.8472, 4881
313,2,14388.8645, 4882
314,2,14388.8777, 4883
315,2,14388.8942, 4884
316,2,14388.9102, 4885
317,2,14388.9260, 4886
318,2,14388.9421, 4887
319,2,14388.9598, 4888
320,2,14388.9746, 4889
321,2,14388.9905, 4890
322,2,14389.0073, 4891
323,2,14389.0220, 4892
324,2,14389.0381, 4893
325,2,14389.0545, 4894
326,2,14389.0702, 4895
327,2,14389.0860, 4896
328,2,14389.1019, 4897
329,2,14389.1182, 4898
330,2,14389.1340, 4899
331,2,14389.1502, 4900
332,2,14389.1658, 4901
333,2,14389.1986, 4902
334,2,14389.2143, 4903
335,2,14389.2298, 4904
336,2,14389.2459, 4905
337,2,14389.2620, 4906
338,2,14389.2784, 4907
339,2,14389.2944, 4908
340,2,14389.3104, 4909
341,2,14389.3262, 4910
342,2,14389.3438, 4911
343,2,14389.3583, 4912
344,2,14389.3739, 4913
345,2,14389.3925, 4914
346,2,14389.4065, 4915
347,2,14389.4220, 4916
348,2,14389.4379, 4917
349,2,14389.4550, 4918
350,2,14389.4699, 4919
351,2,14389.4862, 4920
352,2,14389.5027, 4921
353,2,14389.5178, 4922
354,2,14389.5340, 4923
355,2,14389.5500, 4924
356,2,14389.5659, 4925
357,2,14389.5980, 4926
358,2,14389.6140, 4927
359,2,14389.6302, 4928
360,2,14389.6460, 4929
361,2,14389.6620, 4930
362,2,14389.6779, 4931
363,2,14389.6942, 4932
364,2,14389.7110, 4933
365,2,14389.7261, 4934
366,2,14389.7420, 4935
367,2,14389.7579, 4936
368,2,14389.7741, 4937
369,2,14389.7902, 4938
370,2,14389.8059, 4939
371,2,14389.8218, 4940
372,2,14389.8379, 4941
373,2,14389.8539, 4942
374,2,14389.8699, 4943
375,2,14389.8862, 4944
376,2,14389.9034, 4945
377,2,14389.9178, 4946
378,2,14389.9345, 4947
379,2,14389.9502, 4948
380,2,14389.9819, 4949
381,2,14389.9979, 4950
382,2,14390.0139, 4951
383,2,14390.0302, 4952
384,2,14390.0485, 4953
385,2,14390.0625, 4954
