timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
14388.161862,-4.543610,1.219172,59.334869,1.954241,1.260755,59.104572,14388.161861,14388.119746,0,4840,1,-1.702889,3.928921,67.812111,0.035611,-0.044139,0.010873
14388.178465,-4.542218,1.229555,59.276775,1.950010,1.243724,59.084797,14388.178463,14388.136440,0,4841,1,-1.679472,3.940529,67.769318,0.033702,-0.040144,0.014137
14388.191406,-4.542436,1.237200,59.250648,1.952655,1.284497,59.115292,14388.191404,14388.153135,0,4842,1,-1.746580,3.933369,67.770195,0.034565,-0.050224,0.008091
14388.205997,-4.543890,1.187037,59.255402,1.951004,1.249767,59.123058,14388.205996,14388.169829,0,4843,1,-1.658025,4.068504,67.738274,0.019324,-0.040658,0.004968
14388.221516,-4.545719,1.212505,59.212288,1.942277,1.254593,59.060993,14388.221515,14388.186524,0,4844,1,-1.724611,3.952353,67.719955,0.032563,-0.046532,0.008857
14388.239113,-4.545230,1.254276,59.215942,1.940093,1.276102,59.054779,14388.239112,14388.203218,0,4845,1,-1.704856,4.037930,67.691719,0.022645,-0.046678,0.001646
14388.255090,-4.546188,1.194753,59.224281,1.945449,1.226746,59.098873,14388.255089,14388.219913,0,4846,1,-1.712768,3.926341,67.753708,0.035786,-0.047395,0.002437
14388.270843,-4.549963,1.216429,59.223873,1.948342,1.245449,59.114307,14388.270841,14388.236607,0,4847,1,-1.674454,3.830140,67.792328,0.046772,-0.041325,0.007034
14388.286042,-4.558080,1.220467,59.295937,1.944257,1.257363,59.126015,14388.286041,14388.253302,0,4848,1,-1.746711,3.968984,67.789268,0.031163,-0.050304,0.003554
14388.301846,-4.560470,1.215586,59.272457,1.939434,1.261315,59.132812,14388.301846,14388.269996,0,4849,1,-1.807517,4.009109,67.764618,0.026285,-0.056026,0.006565
14388.318591,-4.563250,1.224834,59.269573,1.937386,1.249452,59.137714,14388.318591,14388.286691,0,4850,1,-1.777279,4.072011,67.746880,0.018702,-0.048915,0.016250
14388.333905,-4.563940,1.220485,59.287109,1.939561,1.235048,59.187069,14388.333904,14388.303385,0,4851,1,-1.758842,4.007755,67.802322,0.026463,-0.050004,0.006836
14388.350108,-4.567751,1.218424,59.301643,1.939396,1.255735,59.199890,14388.350107,14388.320080,0,4852,1,-1.735150,3.988759,67.823257,0.028526,-0.045637,0.010892
14388.365696,-4.568582,1.208483,59.313812,1.942131,1.258103,59.217724,14388.365695,14388.336774,0,4853,1,-1.823865,3.970098,67.839180,0.030710,-0.057548,0.006685
14388.382277,-4.569153,1.222439,59.282379,1.935165,1.249733,59.165974,14388.382276,14388.353469,0,4854,1,-1.775896,4.059702,67.770866,0.020073,-0.051435,0.007020
14388.414744,-4.568044,1.204383,59.271900,1.935734,1.238199,59.179810,14388.414742,14388.370163,0,4855,1,-1.828888,3.884609,67.824608,0.040157,-0.057863,0.006265
14388.430165,-4.567338,1.208722,59.324005,1.939032,1.246436,59.195869,14388.430163,14388.386764,0,4856,1,-1.767953,3.939124,67.845573,0.033918,-0.049307,0.011338
14388.446129,-4.571043,1.244990,59.358437,1.938800,1.272245,59.180500,14388.446127,14388.403452,0,4857,1,-1.748484,4.045743,67.822670,0.021838,-0.047455,0.009669
14388.462195,-4.569914,1.225205,59.307899,1.929804,1.269823,59.104908,14388.462194,14388.420139,0,4858,1,-1.710088,3.954372,67.790672,0.032387,-0.043089,0.007726
14388.478225,-4.565135,1.216669,59.317635,1.929451,1.249810,59.128437,14388.478223,14388.436827,0,4859,1,-1.710238,3.933446,67.814163,0.034981,-0.043787,0.006351
14388.494004,-4.559815,1.215251,59.271786,1.932811,1.266034,59.120850,14388.494004,14388.453514,0,4860,1,-1.799737,3.891841,67.795242,0.039500,-0.052989,0.011727
14388.510010,-4.554552,1.193499,59.296822,1.935482,1.209842,59.111591,14388.510009,14388.470202,0,4861,1,-1.718087,3.937616,67.793114,0.034312,-0.044023,0.011096
14388.526071,-4.549113,1.233565,59.265499,1.942161,1.251010,59.131397,14388.526070,14388.486889,0,4862,1,-1.742207,4.088439,67.736626,0.016719,-0.049150,0.006858
14388.542255,-4.545500,1.229535,59.267616,1.942402,1.281041,59.072475,14388.542253,14388.503577,0,4863,1,-1.663332,3.974570,67.748627,0.029792,-0.038573,0.011467
14388.558179,-4.539230,1.218732,59.260387,1.947846,1.267913,59.072308,14388.558178,14388.520264,0,4864,1,-1.736920,4.067632,67.710693,0.018788,-0.047537,0.012413
14388.573988,-4.532049,1.186486,59.263954,1.955071,1.239463,59.072613,14388.573988,14388.536952,0,4865,1,-1.692880,4.096719,67.705170,0.015606,-0.044006,0.009875
14388.589834,-4.526155,1.184912,59.224178,1.958582,1.242711,59.047768,14388.589833,14388.553639,0,4866,1,-1.695567,3.851749,67.750153,0.043837,-0.044205,0.011770
14388.606094,-4.520290,1.219740,59.228054,1.966534,1.281066,59.071270,14388.606094,14388.570327,0,4867,1,-1.748659,3.929717,67.735710,0.034495,-0.052292,0.008875
14388.622277,-4.514604,1.243718,59.199471,1.968649,1.278925,59.048512,14388.622275,14388.587014,0,4868,1,-1.708851,4.050601,67.672241,0.020149,-0.047901,0.009655
14388.638015,-4.503608,1.170214,59.177185,1.974973,1.227467,59.033699,14388.638014,14388.603702,0,4869,1,-1.753611,3.983200,67.672638,0.027773,-0.052409,0.014325
14388.654544,-4.500378,1.201754,59.235016,1.981437,1.253660,59.045105,14388.654543,14388.620389,0,4870,1,-1.713831,3.875023,67.743767,0.040759,-0.050465,0.008027
14388.669805,-4.495277,1.225499,59.224140,1.987682,1.278824,59.054665,14388.669805,14388.637077,0,4871,1,-1.714188,4.001415,67.702354,0.025801,-0.050308,0.011029
14388.686146,-4.491469,1.163554,59.246326,1.995377,1.230918,59.067421,14388.686145,14388.653764,0,4872,1,-1.624717,3.941489,67.743591,0.032961,-0.039911,0.012246
14388.702141,-4.488580,1.205743,59.212891,1.997155,1.258357,59.048733,14388.702140,14388.670452,0,4873,1,-1.631959,3.993579,67.700386,0.026846,-0.040732,0.013402
14388.717912,-4.483167,1.205298,59.211029,2.000257,1.245925,59.024433,14388.717911,14388.687139,0,4874,1,-1.589370,3.961997,67.698326,0.030315,-0.036852,0.011558
14388.734059,-4.479936,1.207138,59.173336,2.003623,1.235937,59.040798,14388.734058,14388.703827,0,4875,1,-1.664852,3.790743,67.736633,0.050184,-0.047892,0.005866
14388.750096,-4.475826,1.210562,59.177731,2.006383,1.248981,59.072193,14388.750095,14388.720515,0,4876,1,-1.700558,3.987283,67.691902,0.027284,-0.050281,0.012756
14388.766847,-4.473432,1.185483,59.163441,2.003835,1.217879,59.021584,14388.766846,14388.737202,0,4877,1,-1.568559,4.067920,67.638817,0.017869,-0.035566,0.010308
14388.782000,-4.470693,1.234030,59.168041,2.007408,1.269134,59.020588,14388.782000,14388.753890,0,4878,1,-1.647491,3.947920,67.676750,0.032056,-0.044800,0.011727
14388.815833,-4.467578,1.226413,59.179127,2.010389,1.277473,59.014656,14388.815833,14388.770533,0,4879,1,-1.710549,4.096159,67.628113,0.014995,-0.053019,0.010522
14388.830472,-4.465030,1.200281,59.168667,2.015474,1.249062,59.041847,14388.830471,14388.787214,0,4880,1,-1.672251,4.026924,67.661362,0.023148,-0.049371,0.009063
14388.847086,-4.465492,1.235549,59.135738,2.014210,1.287054,59.026367,14388.847085,14388.803895,0,4881,1,-1.636376,3.949968,67.662491,0.031627,-0.044531,0.010843
14388.864526,-4.463900,1.204874,59.103657,2.018765,1.251534,59.038147,14388.864525,14388.820575,0,4882,1,-1.557886,3.937357,67.658440,0.032706,-0.035760,0.010467
14388.877663,-4.460917,1.172929,59.079372,2.019721,1.234057,59.020718,14388.877662,14388.837256,0,4883,1,-1.626055,3.979295,67.620918,0.027623,-0.043038,0.013069
14388.894165,-4.460552,1.193874,59.091518,2.022394,1.249884,59.045147,14388.894163,14388.853936,0,4884,1,-1.624053,3.908405,67.660667,0.035592,-0.044587,0.008417
14388.910211,-4.460889,1.175320,59.123158,2.023128,1.216143,59.057919,14388.910211,14388.870617,0,4885,1,-1.575758,3.949148,67.671806,0.030692,-0.037980,0.011215
14388.926022,-4.462616,1.241358,59.107666,2.020289,1.269217,59.047909,14388.926021,14388.887297,0,4886,1,-1.671971,4.041992,67.624550,0.020018,-0.051262,0.005042
14388.942069,-4.460040,1.200527,59.130005,2.019334,1.258534,59.031292,14388.942068,14388.903978,0,4887,1,-1.700563,3.973463,67.647789,0.027724,-0.053057,0.009616
14388.959701,-4.464141,1.160142,59.089611,2.015429,1.215838,58.959389,14388.959700,14388.920659,0,4888,1,-1.628661,4.049201,67.570267,0.018646,-0.042967,0.012885
14388.974398,-4.464099,1.173182,59.121807,2.016378,1.213706,58.969006,14388.974397,14388.937339,0,4889,1,-1.745503,3.955590,67.615875,0.029745,-0.057468,0.010659
14388.990493,-4.466161,1.194094,59.140419,2.012830,1.247444,58.953487,14388.990493,14388.954020,0,4890,1,-1.648142,3.980456,67.614487,0.026715,-0.045262,0.012239
14389.007238,-4.469427,1.182938,59.140778,2.008543,1.240094,58.921612,14389.007236,14388.970700,0,4891,1,-1.675141,3.890944,67.625656,0.037121,-0.049530,0.007478
14389.021985,-4.472050,1.200783,59.165676,2.009759,1.234344,58.916622,14389.021984,14388.987381,0,4892,1,-1.582969,4.023296,67.597366,0.021717,-0.039330,0.005680
14389.038066,-4.475729,1.196071,59.185879,2.010920,1.237728,58.946411,14389.038065,14389.004061,0,4893,1,-1.656762,3.909280,67.655998,0.034912,-0.045481,0.012533
14389.054422,-4.479931,1.193879,59.225300,2.007889,1.218151,58.955593,14389.054420,14389.020742,0,4894,1,-1.643973,3.943944,67.670494,0.031076,-0.044334,0.010164
14389.070250,-4.481944,1.202393,59.223694,2.000493,1.251265,58.889034,14389.070248,14389.037423,0,4895,1,-1.561804,3.977565,67.628624,0.027001,-0.034954,0.007959
14389.086045,-4.481013,1.163285,59.224590,1.999150,1.167028,58.876644,14389.086043,14389.054103,0,4896,1,-1.652903,3.944059,67.630722,0.031206,-0.045466,0.007977
14389.101921,-4.481988,1.211934,59.200939,1.999230,1.239082,58.871822,14389.101920,14389.070784,0,4897,1,-1.623221,4.013440,67.595177,0.022937,-0.040587,0.012333
14389.118158,-4.484417,1.175113,59.200359,1.996428,1.199613,58.840084,14389.118157,14389.087464,0,4898,1,-1.637341,4.038024,67.570908,0.020316,-0.043264,0.008190
14389.134041,-4.489675,1.181517,59.206959,1.992582,1.215156,58.849945,14389.134040,14389.104145,0,4899,1,-1.639754,4.012547,67.588371,0.023596,-0.043423,0.007075
14389.150149,-4.487299,1.179400,59.239815,1.995307,1.219370,58.867474,14389.150149,14389.120825,0,4900,1,-1.674510,3.935653,67.636650,0.032619,-0.048166,0.005853
14389.165801,-4.486315,1.254121,59.203304,1.990448,1.276569,58.851238,14389.165800,14389.137506,0,4901,1,-1.684459,3.799685,67.650368,0.047672,-0.046462,0.014126
14389.198548,-4.485355,1.194665,59.197018,1.990858,1.236237,58.872089,14389.198547,14389.154187,0,4902,1,-1.707630,3.958873,67.607079,0.029150,-0.048930,0.014847
14389.214252,-4.484285,1.179151,59.176758,1.987714,1.220607,58.858112,14389.214251,14389.170774,0,4903,1,-1.739835,3.866459,67.617035,0.039876,-0.053749,0.011181
14389.229778,-4.484708,1.186189,59.156250,1.987910,1.224589,58.870918,14389.229777,14389.187447,0,4904,1,-1.638045,3.995974,67.577118,0.024938,-0.044321,0.003920
14389.245908,-4.482712,1.183113,59.161366,1.986292,1.211329,58.864468,14389.245907,14389.204121,0,4905,1,-1.705066,4.067206,67.549423,0.016347,-0.049863,0.010869
14389.262007,-4.480709,1.210354,59.144062,1.988746,1.258147,58.878529,14389.262006,14389.220794,0,4906,1,-1.637573,4.016196,67.567741,0.022305,-0.042478,0.010255
14389.278349,-4.480513,1.206742,59.161724,1.989881,1.236618,58.916931,14389.278349,14389.237468,0,4907,1,-1.767789,3.955336,67.608757,0.029547,-0.059302,0.005691
14389.294366,-4.480116,1.186344,59.114193,1.989081,1.210896,58.903694,14389.294366,14389.254142,0,4908,1,-1.661376,3.953079,67.584137,0.029297,-0.043310,0.015971
14389.310216,-4.481290,1.191576,59.138344,1.988875,1.241335,58.912109,14389.310215,14389.270815,0,4909,1,-1.673768,4.080687,67.558403,0.014784,-0.047879,0.006770
14389.326177,-4.481103,1.216243,59.107971,1.988162,1.266941,58.928467,14389.326176,14389.287489,0,4910,1,-1.668288,3.952786,67.592445,0.029121,-0.044959,0.013416
14389.343716,-4.476779,1.179869,59.088173,2.000610,1.206827,58.986736,14389.343715,14389.304163,0,4911,1,-1.664331,4.141448,67.548164,0.006863,-0.045391,0.013464
14389.358250,-4.475523,1.156042,59.089172,2.000582,1.219056,59.015320,14389.358249,14389.320836,0,4912,1,-1.736209,3.873998,67.647026,0.038255,-0.055047,0.009767
14389.373805,-4.480349,1.173899,59.093044,2.000867,1.230427,59.026672,14389.373804,14389.337510,0,4913,1,-1.665081,4.106506,67.583824,0.011399,-0.045462,0.012955
14389.392383,-4.484817,1.212232,59.106579,1.999130,1.249159,59.046772,14389.392382,14389.354183,0,4914,1,-1.748542,3.980754,67.637207,0.026009,-0.057740,0.004629
14389.406455,-4.485587,1.182316,59.132710,2.003469,1.220093,59.076382,14389.406455,14389.370857,0,4915,1,-1.682456,4.013473,67.657562,0.021941,-0.048662,0.009069
14389.422018,-4.484911,1.154979,59.125439,1.998547,1.194463,59.067696,14389.422016,14389.387531,0,4916,1,-1.690011,3.949290,67.669914,0.029430,-0.050440,0.005442
14389.437924,-4.487475,1.196917,59.130756,1.997900,1.231060,59.061535,14389.437923,14389.404204,0,4917,1,-1.673286,3.889003,67.689072,0.036294,-0.048185,0.005924
14389.454977,-4.487802,1.178517,59.100746,1.997479,1.211235,59.066486,14389.454976,14389.420878,0,4918,1,-1.697712,4.028167,67.629700,0.019707,-0.050272,0.008205
14389.469922,-4.490955,1.192232,59.114624,1.997949,1.254811,59.065460,14389.469920,14389.437551,0,4919,1,-1.649473,4.017756,67.642212,0.021002,-0.044334,0.008762
14389.486250,-4.490541,1.198402,59.119518,1.994887,1.223722,59.025784,14389.486248,14389.454225,0,4920,1,-1.620738,3.947518,67.648972,0.029072,-0.038961,0.014070
14389.502735,-4.491460,1.198037,59.149055,1.995842,1.236253,59.040466,14389.502733,14389.470899,0,4921,1,-1.597169,3.940722,67.674095,0.030037,-0.039655,0.003861
14389.517778,-4.492907,1.215988,59.212971,1.999423,1.256035,59.046688,14389.517777,14389.487572,0,4922,1,-1.595164,3.851264,67.737610,0.040602,-0.040046,0.002326
14389.533944,-4.495257,1.188947,59.250271,1.990268,1.215120,58.985928,14389.533943,14389.504246,0,4923,1,-1.637407,3.968531,67.687035,0.026693,-0.042070,0.008967
14389.549985,-4.498230,1.205832,59.236752,1.992778,1.226419,59.029446,14389.549984,14389.520919,0,4924,1,-1.723003,4.082348,67.659843,0.013264,-0.052225,0.008792
14389.565932,-4.498719,1.195773,59.261608,1.995845,1.236257,59.070381,14389.565930,14389.537593,0,4925,1,-1.648059,4.119558,67.683678,0.008872,-0.043260,0.009741
