CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
14388.157140155, 14388.157140155, 4841, 14388.157140155, 14388.157140155, 4841, 14388.157140155, 271
14388.173834646, 14388.173834646, 4842, 14388.173834646, 14388.173834646, 4842, 14388.173834646, 272
14388.190529137, 14388.190529137, 4843, 14388.190529137, 14388.190529137, 4843, 14388.190529137, 273
14388.207223627, 14388.207223627, 4844, 14388.207223627, 14388.207223627, 4844, 14388.207223627, 274
14388.223918118, 14388.223918118, 4845, 14388.223918118, 14388.223918118, 4845, 14388.223918118, 275
14388.240612609, 14388.240612609, 4846, 14388.240612609, 14388.240612609, 4846, 14388.240612609, 276
14388.257307100, 14388.257307100, 4847, 14388.257307100, 14388.257307100, 4847, 14388.257307100, 277
14388.274001591, 14388.274001591, 4848, 14388.274001591, 14388.274001591, 4848, 14388.274001591, 278
14388.290696081, 14388.290696081, 4849, 14388.290696081, 14388.290696081, 4849, 14388.290696081, 279
14388.307390572, 14388.307390572, 4850, 14388.307390572, 14388.307390572, 4850, 14388.307390572, 280
14388.324085063, 14388.324085063, 4851, 14388.324085063, 14388.324085063, 4851, 14388.324085063, 281
14388.340779554, 14388.340779554, 4852, 14388.340779554, 14388.340779554, 4852, 14388.340779554, 282
14388.357474045, 14388.357474045, 4853, 14388.357474045, 14388.357474045, 4853, 14388.357474045, 283
14388.374168536, 14388.374168536, 4854, 14388.374168536, 14388.374168536, 4854, 14388.374168536, 284
14388.390863026, 14388.390863026, 4855, 14388.390863026, 14388.390863026, 4855, 14388.390863026, 285
14388.407463994, 14388.407463994, 4856, 14388.407463994, 14388.407463994, 4856, 14388.407463994, 286
14388.424151520, 14388.424151520, 4857, 14388.424151520, 14388.424151520, 4857, 14388.424151520, 287
14388.440839046, 14388.440839046, 4858, 14388.440839046, 14388.440839046, 4858, 14388.440839046, 288
14388.457526572, 14388.457526572, 4859, 14388.457526572, 14388.457526572, 4859, 14388.457526572, 289
14388.474214098, 14388.474214098, 4860, 14388.474214098, 14388.474214098, 4860, 14388.474214098, 290
14388.490901624, 14388.490901624, 4861, 14388.490901624, 14388.490901624, 4861, 14388.490901624, 291
14388.507589150, 14388.507589150, 4862, 14388.507589150, 14388.507589150, 4862, 14388.507589150, 292
14388.524276676, 14388.524276676, 4863, 14388.524276676, 14388.524276676, 4863, 14388.524276676, 293
14388.540964202, 14388.540964202, 4864, 14388.540964202, 14388.540964202, 4864, 14388.540964202, 294
14388.557651728, 14388.557651728, 4865, 14388.557651728, 14388.557651728, 4865, 14388.557651728, 295
14388.574339254, 14388.574339254, 4866, 14388.574339254, 14388.574339254, 4866, 14388.574339254, 296
14388.591026781, 14388.591026781, 4867, 14388.591026781, 14388.591026781, 4867, 14388.591026781, 297
14388.607714307, 14388.607714307, 4868, 14388.607714307, 14388.607714307, 4868, 14388.607714307, 298
14388.624401833, 14388.624401833, 4869, 14388.624401833, 14388.624401833, 4869, 14388.624401833, 299
14388.641089359, 14388.641089359, 4870, 14388.641089359, 14388.641089359, 4870, 14388.641089359, 300
14388.657776885, 14388.657776885, 4871, 14388.657776885, 14388.657776885, 4871, 14388.657776885, 301
14388.674464411, 14388.674464411, 4872, 14388.674464411, 14388.674464411, 4872, 14388.674464411, 302
14388.691151937, 14388.691151937, 4873, 14388.691151937, 14388.691151937, 4873, 14388.691151937, 303
14388.707839463, 14388.707839463, 4874, 14388.707839463, 14388.707839463, 4874, 14388.707839463, 304
14388.724526989, 14388.724526989, 4875, 14388.724526989, 14388.724526989, 4875, 14388.724526989, 305
14388.741214515, 14388.741214515, 4876, 14388.741214515, 14388.741214515, 4876, 14388.741214515, 306
14388.757902041, 14388.757902041, 4877, 14388.757902041, 14388.757902041, 4877, 14388.757902041, 307
14388.774589567, 14388.774589567, 4878, 14388.774589567, 14388.774589567, 4878, 14388.774589567, 308
14388.791233495, 14388.791233495, 4879, 14388.791233495, 14388.791233495, 4879, 14388.791233495, 309
14388.807914062, 14388.807914062, 4880, 14388.807914062, 14388.807914062, 4880, 14388.807914062, 310
14388.824594629, 14388.824594629, 4881, 14388.824594629, 14388.824594629, 4881, 14388.824594629, 311
14388.841275196, 14388.841275196, 4882, 14388.841275196, 14388.841275196, 4882, 14388.841275196, 312
14388.857955763, 14388.857955763, 4883, 14388.857955763, 14388.857955763, 4883, 14388.857955763, 313
14388.874636330, 14388.874636330, 4884, 14388.874636330, 14388.874636330, 4884, 14388.874636330, 314
14388.891316898, 14388.891316898, 4885, 14388.891316898, 14388.891316898, 4885, 14388.891316898, 315
14388.907997465, 14388.907997465, 4886, 14388.907997465, 14388.907997465, 4886, 14388.907997465, 316
14388.924678032, 14388.924678032, 4887, 14388.924678032, 14388.924678032, 4887, 14388.924678032, 317
14388.941358599, 14388.941358599, 4888, 14388.941358599, 14388.941358599, 4888, 14388.941358599, 318
14388.958039166, 14388.958039166, 4889, 14388.958039166, 14388.958039166, 4889, 14388.958039166, 319
14388.974719733, 14388.974719733, 4890, 14388.974719733, 14388.974719733, 4890, 14388.974719733, 320
14388.991400300, 14388.991400300, 4891, 14388.991400300, 14388.991400300, 4891, 14388.991400300, 321
14389.008080868, 14389.008080868, 4892, 14389.008080868, 14389.008080868, 4892, 14389.008080868, 322
14389.024761435, 14389.024761435, 4893, 14389.024761435, 14389.024761435, 4893, 14389.024761435, 323
14389.041442002, 14389.041442002, 4894, 14389.041442002, 14389.041442002, 4894, 14389.041442002, 324
14389.058122569, 14389.058122569, 4895, 14389.058122569, 14389.058122569, 4895, 14389.058122569, 325
14389.074803136, 14389.074803136, 4896, 14389.074803136, 14389.074803136, 4896, 14389.074803136, 326
14389.091483703, 14389.091483703, 4897, 14389.091483703, 14389.091483703, 4897, 14389.091483703, 327
14389.108164270, 14389.108164270, 4898, 14389.108164270, 14389.108164270, 4898, 14389.108164270, 328
14389.124844838, 14389.124844838, 4899, 14389.124844838, 14389.124844838, 4899, 14389.124844838, 329
14389.141525405, 14389.141525405, 4900, 14389.141525405, 14389.141525405, 4900, 14389.141525405, 330
14389.158205972, 14389.158205972, 4901, 14389.158205972, 14389.158205972, 4901, 14389.158205972, 331
14389.174886539, 14389.174886539, 4902, 14389.174886539, 14389.174886539, 4902, 14389.174886539, 332
14389.191473605, 14389.191473605, 4903, 14389.191473605, 14389.191473605, 4903, 14389.191473605, 333
14389.208147219, 14389.208147219, 4904, 14389.208147219, 14389.208147219, 4904, 14389.208147219, 334
14389.224820833, 14389.224820833, 4905, 14389.224820833, 14389.224820833, 4905, 14389.224820833, 335
14389.241494447, 14389.241494447, 4906, 14389.241494447, 14389.241494447, 4906, 14389.241494447, 336
14389.258168061, 14389.258168061, 4907, 14389.258168061, 14389.258168061, 4907, 14389.258168061, 337
14389.274841675, 14389.274841675, 4908, 14389.274841675, 14389.274841675, 4908, 14389.274841675, 338
14389.291515289, 14389.291515289, 4909, 14389.291515289, 14389.291515289, 4909, 14389.291515289, 339
14389.308188903, 14389.308188903, 4910, 14389.308188903, 14389.308188903, 4910, 14389.308188903, 340
14389.324862517, 14389.324862517, 4911, 14389.324862517, 14389.324862517, 4911, 14389.324862517, 341
14389.341536131, 14389.341536131, 4912, 14389.341536131, 14389.341536131, 4912, 14389.341536131, 342
14389.358209745, 14389.358209745, 4913, 14389.358209745, 14389.358209745, 4913, 14389.358209745, 343
14389.374883359, 14389.374883359, 4914, 14389.374883359, 14389.374883359, 4914, 14389.374883359, 344
14389.391556973, 14389.391556973, 4915, 14389.391556973, 14389.391556973, 4915, 14389.391556973, 345
14389.408230587, 14389.408230587, 4916, 14389.408230587, 14389.408230587, 4916, 14389.408230587, 346
14389.424904201, 14389.424904201, 4917, 14389.424904201, 14389.424904201, 4917, 14389.424904201, 347
14389.441577815, 14389.441577815, 4918, 14389.441577815, 14389.441577815, 4918, 14389.441577815, 348
14389.458251429, 14389.458251429, 4919, 14389.458251429, 14389.458251429, 4919, 14389.458251429, 349
14389.474925043, 14389.474925043, 4920, 14389.474925043, 14389.474925043, 4920, 14389.474925043, 350
14389.491598657, 14389.491598657, 4921, 14389.491598657, 14389.491598657, 4921, 14389.491598657, 351
14389.508272271, 14389.508272271, 4922, 14389.508272271, 14389.508272271, 4922, 14389.508272271, 352
14389.524945885, 14389.524945885, 4923, 14389.524945885, 14389.524945885, 4923, 14389.524945885, 353
14389.541619499, 14389.541619499, 4924, 14389.541619499, 14389.541619499, 4924, 14389.541619499, 354
14389.558293113, 14389.558293113, 4925, 14389.558293113, 14389.558293113, 4925, 14389.558293113, 355
14389.574989242, 14389.574989242, 4926, 14389.574989242, 14389.574989242, 4926, 14389.574989242, 356
14389.591669809, 14389.591669809, 4927, 14389.591669809, 14389.591669809, 4927, 14389.591669809, 357
14389.608350376, 14389.608350376, 4928, 14389.608350376, 14389.608350376, 4928, 14389.608350376, 358
14389.625030943, 14389.625030943, 4929, 14389.625030943, 14389.625030943, 4929, 14389.625030943, 359
14389.641711510, 14389.641711510, 4930, 14389.641711510, 14389.641711510, 4930, 14389.641711510, 360
14389.658392077, 14389.658392077, 4931, 14389.658392077, 14389.658392077, 4931, 14389.658392077, 361
14389.675072644, 14389.675072644, 4932, 14389.675072644, 14389.675072644, 4932, 14389.675072644, 362
14389.691753212, 14389.691753212, 4933, 14389.691753212, 14389.691753212, 4933, 14389.691753212, 363
14389.708433779, 14389.708433779, 4934, 14389.708433779, 14389.708433779, 4934, 14389.708433779, 364
14389.725114346, 14389.725114346, 4935, 14389.725114346, 14389.725114346, 4935, 14389.725114346, 365
14389.741794913, 14389.741794913, 4936, 14389.741794913, 14389.741794913, 4936, 14389.741794913, 366
14389.758475480, 14389.758475480, 4937, 14389.758475480, 14389.758475480, 4937, 14389.758475480, 367
14389.775156047, 14389.775156047, 4938, 14389.775156047, 14389.775156047, 4938, 14389.775156047, 368
14389.791836614, 14389.791836614, 4939, 14389.791836614, 14389.791836614, 4939, 14389.791836614, 369
14389.808517182, 14389.808517182, 4940, 14389.808517182, 14389.808517182, 4940, 14389.808517182, 370
14389.825197749, 14389.825197749, 4941, 14389.825197749, 14389.825197749, 4941, 14389.825197749, 371
14389.841878316, 14389.841878316, 4942, 14389.841878316, 14389.841878316, 4942, 14389.841878316, 372
14389.858558883, 14389.858558883, 4943, 14389.858558883, 14389.858558883, 4943, 14389.858558883, 373
14389.875239450, 14389.875239450, 4944, 14389.875239450, 14389.875239450, 4944, 14389.875239450, 374
14389.891920017, 14389.891920017, 4945, 14389.891920017, 14389.891920017, 4945, 14389.891920017, 375
14389.908600584, 14389.908600584, 4946, 14389.908600584, 14389.908600584, 4946, 14389.908600584, 376
14389.925281152, 14389.925281152, 4947, 14389.925281152, 14389.925281152, 4947, 14389.925281152, 377
14389.941961719, 14389.941961719, 4948, 14389.941961719, 14389.941961719, 4948, 14389.941961719, 378
14389.958642286, 14389.958642286, 4949, 14389.958642286, 14389.958642286, 4949, 14389.958642286, 379
14389.975276722, 14389.975276722, 4950, 14389.975276722, 14389.975276722, 4950, 14389.975276722, 380
14389.991950336, 14389.991950336, 4951, 14389.991950336, 14389.991950336, 4951, 14389.991950336, 381
14390.008623950, 14390.008623950, 4952, 14390.008623950, 14390.008623950, 4952, 14390.008623950, 382
14390.025297564, 14390.025297564, 4953, 14390.025297564, 14390.025297564, 4953, 14390.025297564, 383
14390.041971178, 14390.041971178, 4954, 14390.041971178, 14390.041971178, 4954, 14390.041971178, 384
