CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
2596512.2944, 68.1726, 26.7295, 601.2479, -0.0030, -0.0286, 0.0277, 68.1726, 26.7295, 601.2479, -0.0030, -0.0286, 0.0277, 720
2596512.3111, 68.0753, 26.6780, 598.8499, -0.0163, -0.0325, 0.0286, 68.0753, 26.6780, 598.8499, -0.0163, -0.0325, 0.0286, 721
2596512.3278, 68.0103, 26.7629, 598.7451, -0.0145, -0.0324, 0.0268, 68.0103, 26.7629, 598.7451, -0.0145, -0.0324, 0.0268, 722
2596512.3444, 67.7860, 26.5326, 596.2570, -0.0080, -0.0400, 0.0315, 67.7860, 26.5326, 596.2570, -0.0080, -0.0400, 0.0315, 723
2596512.3611, 67.8401, 26.5715, 597.3036, -0.0119, -0.0335, 0.0290, 67.8401, 26.5715, 597.3036, -0.0119, -0.0335, 0.0290, 724
2596512.3778, 67.5349, 26.4404, 595.7451, -0.0141, -0.0342, 0.0287, 67.5349, 26.4404, 595.7451, -0.0141, -0.0342, 0.0287, 725
2596512.3945, 67.7012, 26.4508, 596.6800, -0.0247, -0.0313, 0.0278, 67.7012, 26.4508, 596.6800, -0.0247, -0.0313, 0.0278, 726
2596512.4111, 67.6429, 26.4915, 597.7762, -0.0115, -0.0304, 0.0264, 67.6429, 26.4915, 597.7762, -0.0115, -0.0304, 0.0264, 727
2596512.4278, 67.7139, 26.5167, 598.3579, -0.0105, -0.0312, 0.0261, 67.7139, 26.5167, 598.3579, -0.0105, -0.0312, 0.0261, 728
2596512.4445, 67.6353, 26.6907, 599.0416, 0.0035, -0.0305, 0.0294, 67.6353, 26.6907, 599.0416, 0.0035, -0.0305, 0.0294, 729
2596512.4612, 67.4265, 26.5783, 597.6791, -0.0037, -0.0308, 0.0301, 67.4265, 26.5783, 597.6791, -0.0037, -0.0308, 0.0301, 730
2596512.4778, 67.3622, 26.5648, 598.4282, -0.0086, -0.0281, 0.0288, 67.3622, 26.5648, 598.4282, -0.0086, -0.0281, 0.0288, 731
2596512.4945, 67.4586, 26.4526, 598.5831, -0.0081, -0.0362, 0.0256, 67.4586, 26.4526, 598.5831, -0.0081, -0.0362, 0.0256, 732
2596512.5112, 67.0291, 26.6339, 596.0593, -0.0110, -0.0333, 0.0277, 67.0291, 26.6339, 596.0593, -0.0110, -0.0333, 0.0277, 733
2596512.5279, 67.2377, 26.5043, 598.7032, -0.0085, -0.0325, 0.0278, 67.2377, 26.5043, 598.7032, -0.0085, -0.0325, 0.0278, 734
2596512.5445, 67.3555, 26.5765, 598.2415, -0.0101, -0.0363, 0.0286, 67.3555, 26.5765, 598.2415, -0.0101, -0.0363, 0.0286, 735
2596512.5612, 67.0903, 26.6255, 595.9593, -0.0233, -0.0308, 0.0277, 67.0903, 26.6255, 595.9593, -0.0233, -0.0308, 0.0277, 736
2596512.5779, 66.9900, 26.5910, 597.3381, 0.0025, -0.0334, 0.0287, 66.9900, 26.5910, 597.3381, 0.0025, -0.0334, 0.0287, 737
