CaptureTime, CaptureTime 0, FrameNumber 0, DeviceTime 0, CaptureTime 1, FrameNumber 1, DeviceTime 1, frameSetCounter
2596512.1604, 2596512.1604, 712, 2596512.1604, 2596512.1604, 712, 2596512.1604, 0
2596512.1771, 2596512.1771, 713, 2596512.1771, 2596512.1771, 713, 2596512.1771, 1
2596512.1938, 2596512.1938, 714, 2596512.1938, 2596512.1938, 714, 2596512.1938, 2
2596512.2104, 2596512.2104, 715, 2596512.2104, 2596512.2104, 715, 2596512.2104, 3
2596512.2277, 2596512.2277, 716, 2596512.2277, 2596512.2277, 716, 2596512.2277, 4
2596512.2444, 2596512.2444, 717, 2596512.2444, 2596512.2444, 717, 2596512.2444, 5
2596512.2611, 2596512.2611, 718, 2596512.2611, 2596512.2611, 718, 2596512.2611, 6
2596512.2777, 2596512.2777, 719, 2596512.2777, 2596512.2777, 719, 2596512.2777, 7
2596512.2944, 2596512.2944, 720, 2596512.2944, 2596512.2944, 720, 2596512.2944, 8
2596512.3111, 2596512.3111, 721, 2596512.3111, 2596512.3111, 721, 2596512.3111, 9
2596512.3278, 2596512.3278, 722, 2596512.3278, 2596512.3278, 722, 2596512.3278, 10
2596512.3444, 2596512.3444, 723, 2596512.3444, 2596512.3444, 723, 2596512.3444, 11
2596512.3611, 2596512.3611, 724, 2596512.3611, 2596512.3611, 724, 2596512.3611, 12
2596512.3778, 2596512.3778, 725, 2596512.3778, 2596512.3778, 725, 2596512.3778, 13
2596512.3945, 2596512.3945, 726, 2596512.3945, 2596512.3945, 726, 2596512.3945, 14
2596512.4111, 2596512.4111, 727, 2596512.4111, 2596512.4111, 727, 2596512.4111, 15
2596512.4278, 2596512.4278, 728, 2596512.4278, 2596512.4278, 728, 2596512.4278, 16
2596512.4445, 2596512.4445, 729, 2596512.4445, 2596512.4445, 729, 2596512.4445, 17
2596512.4612, 2596512.4612, 730, 2596512.4612, 2596512.4612, 730, 2596512.4612, 18
2596512.4778, 2596512.4778, 731, 2596512.4778, 2596512.4778, 731, 2596512.4778, 19
2596512.4945, 2596512.4945, 732, 2596512.4945, 2596512.4945, 732, 2596512.4945, 20
2596512.5112, 2596512.5112, 733, 2596512.5112, 2596512.5112, 733, 2596512.5112, 21
2596512.5279, 2596512.5279, 734, 2596512.5279, 2596512.5279, 734, 2596512.5279, 22
2596512.5445, 2596512.5445, 735, 2596512.5445, 2596512.5445, 735, 2596512.5445, 23
2596512.5612, 2596512.5612, 736, 2596512.5612, 2596512.5612, 736, 2596512.5612, 24
2596512.5779, 2596512.5779, 737, 2596512.5779, 2596512.5779, 737, 2596512.5779, 25
2596512.5945, 2596512.5945, 738, 2596512.5945, 2596512.5945, 738, 2596512.5945, 26
2596512.6112, 2596512.6112, 739, 2596512.6112, 2596512.6112, 739, 2596512.6112, 27
2596512.6277, 2596512.6277, 740, 2596512.6277, 2596512.6277, 740, 2596512.6277, 28
2596512.6444, 2596512.6444, 741, 2596512.6444, 2596512.6444, 741, 2596512.6444, 29
2596512.6611, 2596512.6611, 742, 2596512.6611, 2596512.6611, 742, 2596512.6611, 30
