timeLogged, leftEye.x, leftEye.y, leftEye.z, rightEye.x, rightEye.y, rightEye.z, timeReceived, timeCaptured, resetFilter, frameNumber, numberOfEyePairs, headPosition.x, headPosition.y, headPosition.z, headDirection.x, headDirection.y, headDirection.z
2596512.193578,-7.712875,-1.908675,59.799587,-1.162100,-1.762178,59.967171,2596512.193577,2596512.152751,0,713,1,-4.737356,1.202294,68.362396,-0.005688,-0.025238,0.028358
2596512.205928,-7.712860,-1.915901,59.802307,-1.162565,-1.775282,59.964760,2596512.205927,2596512.169418,0,714,1,-4.765708,1.124692,68.389214,0.003443,-0.028000,0.030102
2596512.235935,-7.711312,-1.898645,59.799885,-1.161819,-1.774609,59.962318,2596512.235933,2596512.186084,0,715,1,-4.762815,1.175727,68.368774,-0.002604,-0.027545,0.030682
2596512.251451,-7.711110,-1.897709,59.792194,-1.157479,-1.787845,59.974976,2596512.251450,2596512.203367,0,716,1,-4.729700,1.222224,68.355309,-0.008169,-0.023722,0.031020
2596512.268616,-7.711516,-1.932762,59.806801,-1.156206,-1.791336,59.970741,2596512.268615,2596512.220041,0,717,1,-4.722087,1.238656,68.355148,-0.009912,-0.024208,0.027135
2596512.285833,-7.712180,-1.926052,59.809490,-1.156754,-1.790160,59.969917,2596512.285832,2596512.236714,0,718,1,-4.765398,1.179214,68.376015,-0.002959,-0.028916,0.028246
2596512.300812,-7.712611,-1.909809,59.818325,-1.155577,-1.782295,59.970875,2596512.300811,2596512.253388,0,719,1,-4.803472,1.176770,68.380219,-0.002829,-0.031760,0.033073
2596512.319879,-7.712109,-1.894473,59.823330,-1.153796,-1.782620,59.997894,2596512.319878,2596512.270061,0,720,1,-4.710887,1.128419,68.416473,0.003035,-0.022977,0.027662
2596512.333807,-7.712369,-1.899191,59.823009,-1.152374,-1.765607,60.007355,2596512.333806,2596512.286735,0,721,1,-4.747206,1.240735,68.379829,-0.010234,-0.026867,0.028623
2596512.349370,-7.711878,-1.889364,59.837715,-1.151633,-1.777526,60.009773,2596512.349369,2596512.303409,0,722,1,-4.740721,1.226592,68.393906,-0.008469,-0.026822,0.026847
