frameCounter, trackingStatus, timeLogged, frameNumber
10,2,2596512.3199, 720
11,2,2596512.3338, 721
12,2,2596512.3494, 722
13,2,2596512.3819, 723
14,2,2596512.3819, 724
15,2,2596512.3955, 725
16,2,2596512.4118, 726
17,2,2596512.4306, 727
18,2,2596512.4470, 728
19,2,2596512.4618, 729
20,2,2596512.4757, 730
21,2,2596512.4970, 731
22,2,2596512.5090, 732
23,2,2596512.5242, 733
24,2,2596512.5410, 734
25,2,2596512.5587, 735
26,2,2596512.5717, 736
27,2,2596512.5874, 737
28,2,2596512.6042, 738
29,2,2596512.6367, 739
30,2,2596512.6552, 740
31,2,2596512.6680, 741
32,2,2596512.6839, 742
33,2,2596512.7005, 743
34,2,2596512.7163, 744
35,2,2596512.7323, 745
36,2,2596512.7505, 746
37,2,2596512.7643, 747
38,2,2596512.7813, 748
39,2,2596512.7968, 749
40,2,2596512.8131, 750
41,2,2596512.8293, 751
42,2,2596512.8447, 752
43,2,2596512.8625, 753
44,2,2596512.8778, 754
45,2,2596512.8932, 755
46,2,2596512.9087, 756
47,2,2596512.9258, 757
48,2,2596512.9420, 758
49,2,2596512.9569, 759
50,2,2596512.9742, 760
51,2,2596512.9915, 761
52,2,2596513.0205, 762
53,2,2596513.0368, 763
54,2,2596513.0526, 764
55,2,2596513.0689, 765
56,2,2596513.0863, 766
57,2,2596513.1012, 767
58,2,2596513.1167, 768
59,2,2596513.1332, 769
60,2,2596513.1491, 770
61,2,2596513.1658, 771
62,2,2596513.1816, 772
63,2,2596513.1976, 773
64,2,2596513.2139, 774
65,2,2596513.2291, 775
66,2,2596513.2455, 776
67,2,2596513.2607, 777
68,2,2596513.2769, 778
69,2,2596513.2933, 779
70,2,2596513.3219, 780
71,2,2596513.3249, 781
72,2,2596513.3425, 782
73,2,2596513.3580, 783
74,2,2596513.3736, 784
75,2,2596513.3892, 785
76,2,2596513.4221, 786
77,2,2596513.4377, 787
78,2,2596513.4531, 788
79,2,2596513.4695, 789
80,2,2596513.4847, 790
81,2,2596513.5006, 791
82,2,2596513.5172, 792
83,2,2596513.5325, 793
84,2,2596513.5490, 794
85,2,2596513.5649, 795
86,2,2596513.5805, 796
87,2,2596513.5966, 797
88,2,2596513.6144, 798
89,2,2596513.6288, 799
90,2,2596513.6450, 800
91,2,2596513.6608, 801
92,2,2596513.6770, 802
93,2,2596513.6929, 803
94,2,2596513.7079, 804
95,2,2596513.7465, 805
96,2,2596513.7466, 806
97,2,2596513.7575, 807
98,2,2596513.7730, 808
99,2,2596513.8048, 809
100,2,2596513.8217, 810
101,2,2596513.8385, 811
102,2,2596513.8538, 812
103,2,2596513.8688, 813
104,2,2596513.8851, 814
105,2,2596513.9013, 815
106,2,2596513.9166, 816
107,2,2596513.9352, 817
108,2,2596513.9499, 818
109,2,2596513.9659, 819
110,2,2596513.9814, 820
111,2,2596513.9981, 821
112,2,2596514.0136, 822
113,2,2596514.0293, 823
114,2,2596514.0464, 824
115,2,2596514.0612, 825
116,2,2596514.0771, 826
117,2,2596514.0930, 827
118,2,2596514.1087, 828
119,2,2596514.1250, 829
120,2,2596514.1415, 830
121,2,2596514.1595, 831
122,2,2596514.1755, 832
123,2,2596514.2066, 833
124,2,2596514.2213, 834
125,2,2596514.2374, 835
126,2,2596514.2534, 836
127,2,2596514.2709, 837
128,2,2596514.2856, 838
129,2,2596514.3007, 839
130,2,2596514.3168, 840
131,2,2596514.3327, 841
132,2,2596514.3484, 842
133,2,2596514.3658, 843
134,2,2596514.3841, 844
135,2,2596514.3966, 845
136,2,2596514.4128, 846
137,2,2596514.4288, 847
138,2,2596514.4449, 848
139,2,2596514.4610, 849
140,2,2596514.4771, 850
141,2,2596514.4941, 851
142,2,2596514.5093, 852
143,2,2596514.5256, 853
144,2,2596514.5413, 854
145,2,2596514.5573, 855
146,2,2596514.5888, 856
147,2,2596514.6056, 857
148,2,2596514.6227, 858
149,2,2596514.6370, 859
150,2,2596514.6529, 860
151,2,2596514.6690, 861
152,2,2596514.6852, 862
153,2,2596514.7005, 863
154,2,2596514.7175, 864
155,2,2596514.7328, 865
156,2,2596514.7495, 866
157,2,2596514.7654, 867
158,2,2596514.7808, 868
159,2,2596514.7972, 869
160,2,2596514.8137, 870
161,2,2596514.8291, 871
162,2,2596514.8456, 872
