CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
2596512.2944, 255.1680, 206.0775, 307.5305, 207.1295, 369.8906, 222.4288, 421.6527, 223.2544, -77.1199, -19.0421, 598.2333, -11.5383, -17.7964, 599.9789, 720
2596512.3111, 255.0628, 206.0522, 307.5385, 207.1078, 369.8312, 222.3343, 421.8650, 223.2656, -77.1230, -19.0376, 598.2301, -11.5215, -17.7939, 600.0735, 721
2596512.3278, 255.0865, 205.8839, 307.5660, 207.0479, 369.7692, 222.4878, 421.7717, 223.3050, -77.1167, -19.0342, 598.3771, -11.5161, -17.7883, 600.0977, 722
2596512.3444, 254.8865, 205.8766, 307.2534, 206.8700, 369.8319, 222.0748, 422.0769, 223.1961, -77.1159, -19.0560, 598.4569, -11.5256, -17.7999, 599.9880, 723
2596512.3611, 255.0804, 205.7958, 307.3746, 206.9129, 369.7433, 222.2403, 421.9382, 223.1664, -77.1085, -19.0715, 598.3747, -11.5412, -17.8085, 599.8920, 724
2596512.3778, 255.1170, 205.7787, 307.2703, 206.9231, 369.5472, 222.0934, 421.8778, 223.0360, -77.1188, -19.0882, 598.3929, -11.5447, -17.8209, 599.9026, 725
2596512.3945, 254.8921, 205.8350, 307.2460, 207.0440, 369.6570, 222.2136, 421.7504, 223.0910, -77.1394, -19.0938, 598.4064, -11.5545, -17.8259, 599.8724, 726
2596512.4111, 254.8548, 205.9948, 307.2628, 207.0449, 369.5261, 222.2416, 421.6398, 223.0437, -77.1708, -19.0911, 598.4897, -11.5649, -17.8371, 600.0141, 727
2596512.4278, 254.9648, 205.9481, 307.3304, 207.0214, 369.5513, 222.2593, 421.6017, 223.0433, -77.1846, -19.0842, 598.6104, -11.5909, -17.8552, 600.1483, 728
2596512.4445, 254.7898, 206.0553, 306.9503, 207.0239, 369.5920, 222.3097, 421.6340, 223.2272, -77.2045, -19.0882, 598.4784, -11.6475, -17.8594, 600.0869, 729
2596512.4612, 254.7192, 206.0628, 307.2126, 206.9767, 369.4688, 222.1721, 421.6413, 223.1694, -77.2421, -19.0982, 598.4042, -11.6665, -17.8753, 600.1152, 730
2596512.4778, 254.6814, 205.9277, 306.8608, 206.8732, 369.3324, 222.2285, 421.4466, 223.1113, -77.2954, -19.1059, 598.4579, -11.7398, -17.8990, 600.0541, 731
2596512.4945, 254.6841, 205.8320, 306.9988, 206.8464, 369.3547, 222.1959, 421.2892, 222.9837, -77.3534, -19.1322, 598.5049, -11.7958, -17.9259, 599.9823, 732
2596512.5112, 254.5463, 205.8628, 306.8989, 206.9263, 369.1022, 222.2727, 421.4291, 223.1545, -77.4253, -19.1482, 598.6243, -11.8636, -17.9375, 599.8804, 733
2596512.5279, 254.7010, 205.7145, 306.7604, 206.8986, 369.2609, 222.2041, 421.1909, 223.0711, -77.4763, -19.1743, 598.7109, -11.9458, -17.9544, 599.7811, 734
2596512.5445, 254.5398, 205.8423, 306.7597, 206.9317, 369.2852, 222.2400, 421.4001, 223.1476, -77.5248, -19.1698, 598.7809, -12.0020, -17.9557, 599.8401, 735
2596512.5612, 254.6434, 206.1024, 306.8609, 206.9149, 369.1451, 222.3090, 421.4281, 223.1767, -77.5789, -19.1524, 598.8670, -12.0533, -17.9545, 599.8359, 736
2596512.5779, 254.4509, 205.8945, 306.6661, 206.9821, 369.1008, 222.1791, 421.3171, 223.1134, -77.6332, -19.1390, 598.7523, -12.1160, -17.9473, 599.8087, 737
2596512.5945, 254.4787, 205.9765, 306.8681, 207.0036, 369.2454, 222.2962, 421.1636, 223.1270, -77.6747, -19.1269, 598.7518, -12.1563, -17.9504, 599.9144, 738
2596512.6112, 254.5954, 206.0151, 306.8724, 206.9475, 369.3651, 222.3642, 421.3491, 223.2044, -77.6918, -19.1175, 598.7007, -12.1930, -17.9451, 599.8598, 739
2596512.6277, 254.5331, 205.8405, 306.8889, 206.9707, 369.1173, 222.3117, 421.4630, 223.2386, -77.7333, -19.1208, 598.7162, -12.2309, -17.9332, 599.7130, 740
2596512.6444, 254.6295, 205.9294, 306.7359, 206.9538, 369.2962, 222.2933, 421.3221, 223.1847, -77.7559, -19.1296, 598.7704, -12.2529, -17.9398, 599.7459, 741
2596512.6611, 254.5497, 205.8924, 306.8753, 207.0469, 369.4718, 222.2144, 421.4575, 223.2374, -77.7561, -19.1327, 598.6654, -12.2823, -17.9295, 599.6512, 742
2596512.6777, 254.5737, 206.0451, 307.0800, 207.0891, 369.2499, 222.3860, 421.6436, 223.3300, -77.7622, -19.1168, 598.6481, -12.2566, -17.9060, 599.6594, 743
2596512.6944, 254.6602, 206.0880, 306.9646, 207.1218, 369.2484, 222.4404, 421.5383, 223.1819, -77.7681, -19.0923, 598.7031, -12.2537, -17.8771, 599.5240, 744
2596512.7111, 254.4215, 205.9883, 306.8911, 206.9726, 369.5892, 222.1801, 421.4171, 223.0848, -77.7394, -19.0808, 598.3746, -12.2553, -17.8786, 599.5171, 745
2596512.7277, 254.6739, 206.0756, 306.9390, 207.1190, 369.2529, 222.3417, 421.3799, 223.2302, -77.7418, -19.0552, 598.3842, -12.2353, -17.8593, 599.5313, 746
2596512.7444, 254.6206, 205.9991, 307.0428, 207.0119, 369.6749, 222.2251, 421.4103, 223.2580, -77.7111, -19.0429, 598.2145, -12.2082, -17.8535, 599.6652, 747
2596512.7611, 254.6998, 205.9296, 306.9796, 206.7209, 369.4674, 222.3771, 421.5386, 223.2633, -77.6876, -19.0444, 598.0812, -12.1956, -17.8596, 599.6755, 748
2596512.7777, 254.5668, 206.0534, 306.9185, 206.9724, 369.3321, 222.2777, 421.4861, 223.1543, -77.6707, -19.0295, 598.0226, -12.1729, -17.8597, 599.7214, 749
2596512.7944, 254.6226, 205.9526, 307.1016, 206.8816, 369.2050, 222.2993, 421.3894, 223.1476, -77.6695, -19.0343, 598.1291, -12.1487, -17.8659, 599.7365, 750
2596512.8111, 254.3591, 206.0406, 306.9298, 206.8666, 369.5167, 222.2794, 421.4009, 223.1414, -77.6682, -19.0311, 597.9227, -12.1437, -17.8735, 599.7341, 751
